uvig_id,UViG ID,Genome Name,Total Scaffolds,Lineage,Viral OTUs,geNomad Score,UViG Topology,UViG Source,Quality,Length,EstimatedCompleteness,Total CDS Count,Total tRNA Count,EstimatedContamination,UViG Origin,Ecosystem,Predicted Host Lineage,Host Detection Method
IMGVR_UViG_2061766007_004164,IMGVR_UViG_2061766007_004164,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00682088,0.86,Provirus,Metagenome,Low,85353,39.62,72,15,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2061766007_004184,IMGVR_UViG_2061766007_004184,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08595131,0.89,Provirus,Metagenome,Medium,40369,81.95,62,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2061766007_004187,IMGVR_UViG_2061766007_004187,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08595134,0.92,Provirus,Metagenome,Medium,43777,72.21,62,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2061766007_004283,IMGVR_UViG_2061766007_004283,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08595220,0.93,Provirus,Metagenome,Medium,51797,85.44,66,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2065487002_000008,IMGVR_UViG_2065487002_000008,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina PE Velve",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00222457,0.98,Linear,Metagenome,Low,5743,14.22,15,0,0,geNomad v1.1.0,Host-associated; Mammals: Human; Digestive system; Large intestine,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus;,CRISPR spacer match
IMGVR_UViG_2065487003_000011,IMGVR_UViG_2065487003_000011,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina SOAP",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00222457,0.98,Linear,Metagenome,Low,5758,14.26,15,0,0,geNomad v1.1.0,Host-associated; Mammals: Human; Digestive system; Large intestine,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus;,CRISPR spacer match
IMGVR_UViG_2065487005_000002,IMGVR_UViG_2065487005_000002,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina CeleraAssembler",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00222457,0.98,Linear,Metagenome,Low,5264,13.04,13,0,0,geNomad v1.1.0,Host-associated; Mammals: Human; Digestive system; Large intestine,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus;,CRISPR spacer match
IMGVR_UViG_2149837022_000181,IMGVR_UViG_2149837022_000181,Human fecal microbial communities from the University of Arizona (HMP) - UAf2,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00691150,0.82,Linear,Metagenome,Low,15136,12.78,17,0,0,geNomad v1.1.0,Host-associated; Mammals: Human; Digestive system; Large intestine,d__Bacteria; p__Firmicutes_A; c__Clostridia;,k-mer match
IMGVR_UViG_2149837022_000199,IMGVR_UViG_2149837022_000199,Human fecal microbial communities from the University of Arizona (HMP) - UAf2,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00691090,0.79,Linear,Metagenome,Low,6448,3.09,8,0,51.64,geNomad v1.1.0,Host-associated; Mammals: Human; Digestive system; Large intestine,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales;,k-mer match
IMGVR_UViG_2149837023_000078,IMGVR_UViG_2149837023_000078,Human fecal microbial communities from the University of Arizona (HMP) - UAm1,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00691313,0.96,Linear,Metagenome,Low,18806,38.38,26,0,0,geNomad v1.1.0,Host-associated; Mammals: Human; Digestive system; Large intestine,;,
IMGVR_UViG_2149837023_000086,IMGVR_UViG_2149837023_000086,Human fecal microbial communities from the University of Arizona (HMP) - UAm1,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00691205,0.96,Linear,Metagenome,Unsure,5347,NA,11,0,0,geNomad v1.1.0,Host-associated; Mammals: Human; Digestive system; Large intestine,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides;,k-mer match
IMGVR_UViG_2199352008_000234,IMGVR_UViG_2199352008_000234,"Thermophilic microbial communities from the Joint Bioenergy Institute, California, USA of rice/straw/compost enrichment - eDNA_2 v1",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00282157,0.86,Linear,Metagenome,Low,16572,39.43,22,0,0,geNomad v1.1.0,Engineered; Solid waste; Grass; Composting,d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Borreliales; f__Borreliaceae;,CRISPR spacer match
IMGVR_UViG_2199352026_000034,IMGVR_UViG_2199352026_000034,"Bovine rumen microbial communities from Vernon, TX, USA, Sample 669",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00694293,0.8,Linear,Metagenome,Low,30557,42.46,19,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae;,k-mer match
IMGVR_UViG_2199352027_000013,IMGVR_UViG_2199352027_000013,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA - Biofuel metagenome 3 version 2 (version 3)",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00694327,0.98,Linear,Metagenome,Low,13132,25.15,16,0,0,geNomad v1.1.0,Engineered; Bioreactor; Anaerobic;,;,
IMGVR_UViG_2199352031_000006,IMGVR_UViG_2199352031_000006,Cave microbial community (Speleothem B),1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00694350,0.74,Linear,Metagenome,Unsure,4877,NA,11,0,0,geNomad v1.1.0,Environmental; Terrestrial; Rock-dwelling (subaerial biofilms);,;,
IMGVR_UViG_2199352032_000004,IMGVR_UViG_2199352032_000004,Cave microbial community (Speleothem A),1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00694350,0.86,Linear,Metagenome,Unsure,4594,NA,10,0,0,geNomad v1.1.0,Environmental; Terrestrial; Rock-dwelling (subaerial biofilms);,;,
IMGVR_UViG_2199352033_000005,IMGVR_UViG_2199352033_000005,Cave microbial community (Wet rock wall),1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00694350,0.72,Linear,Metagenome,Unsure,4617,NA,10,0,0,geNomad v1.1.0,Environmental; Terrestrial; Rock-dwelling (subaerial biofilms);,;,
IMGVR_UViG_2225789004_000223,IMGVR_UViG_2225789004_000223,Passalidae beetle gut microbial communities from Costa Rica -Larvae (4BL+4ML+4MSL),1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00694849,0.82,Linear,Metagenome,Low,8055,8.63,10,0,0,geNomad v1.1.0,Host-associated; Arthropoda: Insects; Larva; Gut,;,
IMGVR_UViG_2225789004_000297,IMGVR_UViG_2225789004_000297,Passalidae beetle gut microbial communities from Costa Rica -Larvae (4BL+4ML+4MSL),1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00694982,0.9,Linear,Metagenome,Low,12540,2.4,10,0,69.74,geNomad v1.1.0,Host-associated; Arthropoda: Insects; Larva; Gut,;,
IMGVR_UViG_2500069000_000001,IMGVR_UViG_2500069000_000001,Limosilactobacillus reuteri 100-23,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08534902,0.96,Provirus,Isolate,High,62747,100,105,4,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus; s__Limosilactobacillus reuteri,Isolate taxonomy
IMGVR_UViG_2500069000_000004,IMGVR_UViG_2500069000_000004,Limosilactobacillus reuteri 100-23,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08534905,0.96,Provirus,Isolate,High,43625,100,62,0,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus; s__Limosilactobacillus reuteri,Isolate taxonomy
IMGVR_UViG_2508501002_000002,IMGVR_UViG_2508501002_000002,Desulfoscipio gibsoniae DSM 7213,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08571802,0.92,Provirus,Isolate,High,44874,94.21,56,0,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes_B; c__Desulfotomaculia; o__Desulfotomaculales; f__Desulfallaceae; g__Sporotomaculum; s__Sporotomaculum gibsoniae,Isolate taxonomy
IMGVR_UViG_2509601030_000024,IMGVR_UViG_2509601030_000024,Treponema sp. SAG7 (unscreened),1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00217787,0.82,Linear,Single amplified genome,Low,33667,10,29,0,76.48,geNomad v1.1.0,;,d__Bacteria; p__Fibrobacterota; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae;,Isolate taxonomy
IMGVR_UViG_2509601035_000004,IMGVR_UViG_2509601035_000004,"Alistipes finegoldii AHN 2437, DSM 17242",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_01671982,0.84,Provirus,Isolate,Unsure,24959,NA,24,0,0,geNomad v1.1.0,;,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes finegoldii,Isolate taxonomy
IMGVR_UViG_2510461053_000001,IMGVR_UViG_2510461053_000001,Acetivibrio cellulolyticus CD2,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08566252,0.94,Provirus,Isolate,High,51415,100,61,0,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Acetivibrionales; f__Acetivibrionaceae; g__Acetivibrio; s__Acetivibrio cellulolyticus,Isolate taxonomy
IMGVR_UViG_2513237098_000001,IMGVR_UViG_2513237098_000001,Bradyrhizobium elkanii WSM2783,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00217984,0.91,Linear,Isolate,Medium,45769,65.34,61,0,0,geNomad v1.1.0,;,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium elkanii_A,Isolate taxonomy
IMGVR_UViG_2513237275_000005,IMGVR_UViG_2513237275_000005,Hungatella hathewayi WAL-18680,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_04246918,0.8,Provirus,Isolate,Low,58395,43.82,68,1,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Hungatella_A; s__Hungatella_A hathewayi_A,Isolate taxonomy
IMGVR_UViG_2513237287_000009,IMGVR_UViG_2513237287_000009,Flavonifractor plautii ATCC 29863,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00218060,0.9,Linear,Isolate,Low,12973,11.81,15,0,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Flavonifractor; s__Flavonifractor plautii,Isolate taxonomy
IMGVR_UViG_2513237315_000003,IMGVR_UViG_2513237315_000003,Enterocloster clostridioformis 2_1_49FAA,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00218095,0.73,Linear,Isolate,Unsure,5734,NA,9,0,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster; s__Enterocloster clostridioformis,Isolate taxonomy
IMGVR_UViG_2513237367_000004,IMGVR_UViG_2513237367_000004,Clostridium sp. 7_3_54FAA,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00218152,0.82,Linear,Isolate,Unsure,10199,NA,9,0,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Clostridium_Q; s__Clostridium_Q symbiosum,Isolate taxonomy
IMGVR_UViG_2513237367_000005,IMGVR_UViG_2513237367_000005,Clostridium sp. 7_3_54FAA,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00218153,0.78,Linear,Isolate,Unsure,10716,NA,11,0,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Clostridium_Q; s__Clostridium_Q symbiosum,Isolate taxonomy
IMGVR_UViG_2514885005_000001,IMGVR_UViG_2514885005_000001,Bacteroides xylanisolvens NLAE-zl-G310,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08555419,0.92,Provirus,Isolate,Low,37080,24.93,39,0,0,geNomad v1.1.0,;,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides xylanisolvens,Isolate taxonomy
IMGVR_UViG_2514885006_000001,IMGVR_UViG_2514885006_000001,Bacteroides xylanisolvens NLAE-zl-G421,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08555419,0.92,Provirus,Isolate,Low,37080,24.93,39,0,0,geNomad v1.1.0,;,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides xylanisolvens,Isolate taxonomy
IMGVR_UViG_2515154100_000002,IMGVR_UViG_2515154100_000002,Streptomyces sp. MspMP-M5,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08562830,0.95,Provirus,Isolate,High,63969,100,78,0,0,geNomad v1.1.0,;,d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__Streptomyces sp000373585,Isolate taxonomy
IMGVR_UViG_2517572215_000002,IMGVR_UViG_2517572215_000002,Wolbachia endosymbiont of Drosophila suzukii wSuzi,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00218534,0.85,Linear,Isolate,Medium,64660,58.57,53,0,47.15,geNomad v1.1.0,;,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Anaplasmataceae; g__Wolbachia; s__Wolbachia pipientis,Isolate taxonomy
IMGVR_UViG_2518285615_000001,IMGVR_UViG_2518285615_000001,Anaeromusa acidaminophila DSM 3853,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00218575,0.95,Linear,Isolate,Low,23022,33.84,26,0,28.95,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Anaeromusales; f__Anaeromusaceae; g__Anaeromusa; s__Anaeromusa acidaminophila,Isolate taxonomy
IMGVR_UViG_2518285615_000003,IMGVR_UViG_2518285615_000003,Anaeromusa acidaminophila DSM 3853,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00218576,0.94,Linear,Isolate,Low,19155,38.74,22,0,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Anaeromusales; f__Anaeromusaceae; g__Anaeromusa; s__Anaeromusa acidaminophila,Isolate taxonomy
IMGVR_UViG_2518645577_000002,IMGVR_UViG_2518645577_000002,Bacillus thuringiensis HD-789,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00218595,0.95,Linear,Isolate,High,235425,100,240,17,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_G; g__Bacillus_A; s__Bacillus_A thuringiensis_S,Isolate taxonomy
IMGVR_UViG_2518645615_000003,IMGVR_UViG_2518645615_000003,Prevotella amnii DSM 23384,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_04058068,0.96,Provirus,Isolate,High,45459,100,54,0,0,geNomad v1.1.0,;,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella amnii,Isolate taxonomy
IMGVR_UViG_2519103121_000001,IMGVR_UViG_2519103121_000001,Bacillus cereus BAG5O-1,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08519955,0.95,Provirus,Isolate,Medium,48096,85.14,54,0,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_G; g__Bacillus_A; s__Bacillus_A toyonensis,Isolate taxonomy
IMGVR_UViG_2519899781_000003,IMGVR_UViG_2519899781_000003,Bacillus cereus HuB1-1,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00226495,0.83,Provirus,Isolate,Medium,61441,86.89,58,0,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_G; g__Bacillus_A; s__Bacillus_A thuringiensis,Isolate taxonomy
IMGVR_UViG_2523231022_000001,IMGVR_UViG_2523231022_000001,Tannerella sp. CB8 (unscreened),1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00219153,0.97,Linear,Single amplified genome,Low,26501,44.93,30,0,0,geNomad v1.1.0,;,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Tannerella; s__Tannerella sp003033925,Isolate taxonomy
IMGVR_UViG_2523231059_000012,IMGVR_UViG_2523231059_000012,Desulforegula conservatrix Mb1Pa,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08562518,0.9,Provirus,Isolate,Medium,22495,59.44,26,0,0,geNomad v1.1.0,;,d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulforegulaceae; g__Desulforegula; s__Desulforegula conservatrix,Isolate taxonomy
IMGVR_UViG_2524023169_000001,IMGVR_UViG_2524023169_000001,Cohnella thermotolerans DSM 17683,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00219254,0.86,Linear,Isolate,Unsure,7331,NA,16,0,0,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Cohnella; s__Cohnella thermotolerans,Isolate taxonomy
IMGVR_UViG_2524614712_000003,IMGVR_UViG_2524614712_000003,Blautia wexlerae AGR2146,1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00219377,0.72,Linear,Isolate,Low,7275,2.36,7,0,64.92,geNomad v1.1.0,;,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A; s__Blautia_A wexlerae,Isolate taxonomy
