intronID,target_name,accession,query_name,accession_2,mdl,mdl_from,mdl_to,seq_from,seq_to,strand,trunc,pass,gc,bias,score,E-value,inc,description_of_target
IMGVR_UViG_2199352027_000013|2199352027|BMHB3a_c152993_II_9133,IMGVR_UViG_2199352027_000013|2199352027|BMHB3a_c152993,-,Intron_gpII,RF00029,cm,1,93,9133,9230,+,no,1,0.56,0.0,56.0,1.4e-05,!,-
IMGVR_UViG_2199352031_000006|2199352031|2205949886_II_4239,IMGVR_UViG_2199352031_000006|2199352031|2205949886,-,Intron_gpII,RF00029,cm,1,93,4239,4165,-,no,1,0.59,0.0,57.7,5.3e-06,!,-
IMGVR_UViG_2199352032_000004|2199352032|2206400306_II_348,IMGVR_UViG_2199352032_000004|2199352032|2206400306,-,Intron_gpII,RF00029,cm,1,93,348,422,+,no,1,0.59,0.0,57.7,5.3e-06,!,-
IMGVR_UViG_2199352033_000005|2199352033|2206858069_II_4319,IMGVR_UViG_2199352033_000005|2199352033|2206858069,-,Intron_gpII,RF00029,cm,1,93,4319,4245,-,no,1,0.59,0.0,57.7,5.3e-06,!,-
IMGVR_UViG_2225789004_000223|2225789004|2227180809_II_621,IMGVR_UViG_2225789004_000223|2225789004|2227180809,-,collapsed_g2,RF00029,cm,1,93,621,3122,-,no,1,0.54,0.0,46.6,0.0027,!,-
IMGVR_UViG_2225789004_000297|2225789004|2227599633_II_12521,IMGVR_UViG_2225789004_000297|2225789004|2227599633,-,Intron_gpII,RF00029,cm,1,93,12521,12437,-,no,1,0.48,0.0,58.7,2.9e-06,!,-
IMGVR_UViG_2500069000_000001|2500069000|2500069000|88031-150777_II_8,IMGVR_UViG_2500069000_000001|2500069000|2500069000|88031-150777,-,Intron_gpII,RF00029,cm,1,93,8,84,+,no,1,0.45,0.0,45.6,0.0049,!,-
IMGVR_UViG_2500069000_000004|2500069000|2500069001|1505317-1548941_II_9580,IMGVR_UViG_2500069000_000004|2500069000|2500069001|1505317-1548941,-,Intron_gpII,RF00029,cm,1,93,9580,9504,-,no,1,0.45,0.0,45.6,0.0049,!,-
IMGVR_UViG_2500069000_000004|2500069000|2500069001|1505317-1548941_II_11091,IMGVR_UViG_2500069000_000004|2500069000|2500069001|1505317-1548941,-,group-II-D1D4-1,RF01998,cm,1,84,11091,11013,-,no,1,0.48,0.0,64.0,1.4e-06,!,-
IMGVR_UViG_2500069000_000004|2500069000|2500069001|1505317-1548941_II_11328,IMGVR_UViG_2500069000_000004|2500069000|2500069001|1505317-1548941,-,group-II-D1D4-3,RF02001,cm,1,171,11328,11155,-,no,1,0.41,0.0,135.5,2.5e-25,!,-
IMGVR_UViG_2502422304_000003|2502422304|2502422636|391-20042_II_1888,IMGVR_UViG_2502422304_000003|2502422304|2502422636|391-20042,-,collapsed_g2,RF02003,cm,1,138,1888,1755,-,no,1,0.61,0.0,90.1,8.5e-15,!,-
IMGVR_UViG_2502422304_000004|2502422304|2502422700|3-17184_II_13451,IMGVR_UViG_2502422304_000004|2502422304|2502422700|3-17184,-,collapsed_g2,RF01998,cm,1,84,13451,13892,+,no,1,0.67,0.0,65.1,7.8e-07,!,-
IMGVR_UViG_2507262031_000002|2507262031|2507278142|1337531-1358605_II_19026,IMGVR_UViG_2507262031_000002|2507262031|2507278142|1337531-1358605,-,group-II-D1D4-7,RF02012,cm,1,148,19026,19137,+,no,1,0.46,0.0,48.0,0.0029,!,-
IMGVR_UViG_2507262035_000003|2507262035|2507281626|3921187-3942667_II_656,IMGVR_UViG_2507262035_000003|2507262035|2507281626|3921187-3942667,-,collapsed_g2,RF01998,cm,1,84,656,1063,+,no,1,0.53,0.0,63.4,2e-06,!,-
IMGVR_UViG_2508501002_000002|2508501002|2508501100|4473456-4518329_II_25739,IMGVR_UViG_2508501002_000002|2508501002|2508501100|4473456-4518329,-,collapsed_g2,RF00029,cm,1,93,25739,28325,+,no,1,0.52,0.0,59.2,2.2e-06,!,-
IMGVR_UViG_2508501048_000001|2508501048|2508504303|560168-572761_II_950,IMGVR_UViG_2508501048_000001|2508501048|2508504303|560168-572761,-,collapsed_g2,RF02003,cm,1,138,950,1118,+,no,1,0.59,0.0,52.3,2.4e-05,!,-
IMGVR_UViG_2509601030_000024|2509601030|2509603475_II_17659,IMGVR_UViG_2509601030_000024|2509601030|2509603475,-,collapsed_g2,RF00029,cm,1,93,17659,20078,-,no,1,0.52,0.0,50.4,0.00033,!,-
IMGVR_UViG_2509601030_000024|2509601030|2509603475_II_29126,IMGVR_UViG_2509601030_000024|2509601030|2509603475,-,Intron_gpII,RF00029,cm,1,93,29126,29030,-,no,1,0.55,0.0,54.3,3.6e-05,!,-
IMGVR_UViG_2509601035_000004|2509601035|2509604772|2376798-2401756_II_2848,IMGVR_UViG_2509601035_000004|2509601035|2509604772|2376798-2401756,-,Intron_gpII,RF00029,cm,1,93,2848,2944,+,no,1,0.60,0.0,55.5,1.8e-05,!,-
IMGVR_UViG_2510065054_000002|2510065054|2510067386|15358-40710_II_16862,IMGVR_UViG_2510065054_000002|2510065054|2510067386|15358-40710,-,group-II-D1D4-3,RF02001,cm,1,171,16862,16693,-,no,1,0.58,0.1,68.6,6.4e-09,!,-
IMGVR_UViG_2510461053_000001|2510461053|2510509640|466375-517789_II_8956,IMGVR_UViG_2510461053_000001|2510461053|2510509640|466375-517789,-,collapsed_g2,RF00029,cm,1,93,8956,10359,+,no,1,0.55,0.0,64.9,8.8e-08,!,-
IMGVR_UViG_2511231048_000008|2511231048|2511243823_II_1948,IMGVR_UViG_2511231048_000008|2511231048|2511243823,-,group-II-D1D4-3,RF02001,cm,1,171,1948,2068,+,no,1,0.50,0.0,48.6,0.00053,!,-
IMGVR_UViG_2511231199_000001|2511231199|2511244679_II_19870,IMGVR_UViG_2511231199_000001|2511231199|2511244679,-,group-II-D1D4-6,RF02005,cm,1,225,19870,19645,-,no,1,0.56,0.0,186.6,6.7e-52,!,-
IMGVR_UViG_2511231199_000003|2511231199|2511244680|1778390-1808525_II_1139,IMGVR_UViG_2511231199_000003|2511231199|2511244680|1778390-1808525,-,group-II-D1D4-6,RF02005,cm,1,225,1139,1364,+,no,1,0.56,0.0,186.6,6.7e-52,!,-
IMGVR_UViG_2511231199_000004|2511231199|2511244680|2280667-2324920_II_42075,IMGVR_UViG_2511231199_000004|2511231199|2511244680|2280667-2324920,-,group-II-D1D4-6,RF02005,cm,1,225,42075,42300,+,no,1,0.56,0.0,186.6,6.7e-52,!,-
IMGVR_UViG_2511231199_000005|2511231199|2511244680|4049987-4084759_II_9189,IMGVR_UViG_2511231199_000005|2511231199|2511244680|4049987-4084759,-,group-II-D1D4-6,RF02005,cm,1,225,9189,8964,-,no,1,0.56,0.0,186.6,6.7e-52,!,-
IMGVR_UViG_2512875014_000001|2512875014|2512875760|1240718-1261911_II_19144,IMGVR_UViG_2512875014_000001|2512875014|2512875760|1240718-1261911,-,group-II-D1D4-7,RF02012,cm,1,148,19144,19255,+,no,1,0.47,0.0,49.7,0.0012,!,-
IMGVR_UViG_2512875026_000005|2512875026|2512880823|932274-974635_II_36276,IMGVR_UViG_2512875026_000005|2512875026|2512880823|932274-974635,-,group-II-D1D4-2,RF01999,cm,1,118,36276,36397,+,no,1,0.61,0.0,83.8,2.2e-12,!,-
IMGVR_UViG_2513237098_000001|2513237098|2513253821_II_44187,IMGVR_UViG_2513237098_000001|2513237098|2513253821,-,Intron_gpII,RF00029,cm,1,93,44187,44111,-,no,1,0.68,0.0,44.7,0.0082,!,-
IMGVR_UViG_2513237166_000001|2513237166|2513259739_II_4128,IMGVR_UViG_2513237166_000001|2513237166|2513259739,-,group-II-D1D4-7,RF02012,cm,1,148,4128,3983,-,no,1,0.62,0.0,82.5,3.4e-11,!,-
IMGVR_UViG_2513237252_000001|2513237252|2513260738|1279528-1290817_II_7367,IMGVR_UViG_2513237252_000001|2513237252|2513260738|1279528-1290817,-,collapsed_g2,RF01998,cm,1,84,7367,7638,+,no,1,0.43,0.0,48.9,0.004,!,-
IMGVR_UViG_2513237275_000005|2513237275|2513263230|83589-141983_II_24960,IMGVR_UViG_2513237275_000005|2513237275|2513263230|83589-141983,-,collapsed_g2,RF00029,cm,1,93,24960,27281,-,no,1,0.45,0.0,56.3,1.2e-05,!,-
IMGVR_UViG_2513237287_000009|2513237287|2513264703_II_4476,IMGVR_UViG_2513237287_000009|2513237287|2513264703,-,Intron_gpII,RF00029,cm,1,93,4476,4380,-,no,1,0.57,0.0,60.9,8.7e-07,!,-
IMGVR_UViG_2513237315_000003|2513237315|2513269063_II_307,IMGVR_UViG_2513237315_000003|2513237315|2513269063,-,Intron_gpII,RF00029,cm,1,93,307,391,+,no,1,0.53,0.0,50.9,0.00025,!,-
IMGVR_UViG_2513237367_000004|2513237367|2513275677_II_6269,IMGVR_UViG_2513237367_000004|2513237367|2513275677,-,collapsed_g2,RF00029,cm,1,93,6269,8549,+,no,1,0.53,0.0,55.2,2.1e-05,!,-
IMGVR_UViG_2513237367_000005|2513237367|2513275684_II_6522,IMGVR_UViG_2513237367_000005|2513237367|2513275684,-,collapsed_g2,RF00029,cm,1,93,6522,8942,-,no,1,0.53,0.0,51.8,0.00015,!,-
IMGVR_UViG_2514885005_000001|2514885005|2514885708|60779-97858_II_20249,IMGVR_UViG_2514885005_000001|2514885005|2514885708|60779-97858,-,Intron_gpII,RF00029,cm,1,93,20249,20153,-,no,1,0.57,0.0,55.7,1.6e-05,!,-
IMGVR_UViG_2514885006_000001|2514885006|2514886014|60779-97858_II_20249,IMGVR_UViG_2514885006_000001|2514885006|2514886014|60779-97858,-,Intron_gpII,RF00029,cm,1,93,20249,20153,-,no,1,0.57,0.0,55.7,1.6e-05,!,-
IMGVR_UViG_2515154100_000002|2515154100|2515162600|353828-417796_II_9920,IMGVR_UViG_2515154100_000002|2515154100|2515162600|353828-417796,-,Intron_gpII,RF00029,cm,1,93,9920,9843,-,no,1,0.69,0.0,50.4,0.00032,!,-
IMGVR_UViG_2515154116_000002|2515154116|2515163990|31067-62242_II_11926,IMGVR_UViG_2515154116_000002|2515154116|2515163990|31067-62242,-,collapsed_g2,RF01998,cm,1,84,11926,11944,-,no,1,0.63,0.1,47.4,0.0085,!,-
IMGVR_UViG_2517572215_000002|2517572215|2517600551_II_36130,IMGVR_UViG_2517572215_000002|2517572215|2517600551,-,group-II-D1D4-4,RF02003,cm,1,138,36130,36249,+,no,1,0.46,0.0,42.3,0.0075,!,-
IMGVR_UViG_2517572215_000002|2517572215|2517600551_II_36139,IMGVR_UViG_2517572215_000002|2517572215|2517600551,-,group-II-D1D4-6,RF02005,cm,1,225,36139,36371,+,no,1,0.47,0.0,132.0,1.7e-34,!,-
IMGVR_UViG_2517572215_000002|2517572215|2517600551_II_37924,IMGVR_UViG_2517572215_000002|2517572215|2517600551,-,Intron_gpII,RF00029,cm,1,93,37924,38022,+,no,1,0.52,0.0,47.9,0.0013,!,-
IMGVR_UViG_2518285522_000007|2518285522|2518287575|625967-653635_II_5984,IMGVR_UViG_2518285522_000007|2518285522|2518287575|625967-653635,-,collapsed_g2,RF02003,cm,1,138,5984,5855,-,no,1,0.55,0.0,101.7,1.1e-17,!,-
IMGVR_UViG_2518285615_000001|2518285615|2518298566_II_141,IMGVR_UViG_2518285615_000001|2518285615|2518298566,-,Intron_gpII,RF00029,cm,1,93,141,237,+,no,1,0.55,0.0,54.8,2.7e-05,!,-
IMGVR_UViG_2518285615_000003|2518285615|2518298567_II_19015,IMGVR_UViG_2518285615_000003|2518285615|2518298567,-,Intron_gpII,RF00029,cm,1,93,19015,18919,-,no,1,0.55,0.0,54.8,2.7e-05,!,-
IMGVR_UViG_2518645577_000002|2518645577|2518681606_II_136563,IMGVR_UViG_2518645577_000002|2518645577|2518681606,-,collapsed_g2,RF00029,cm,1,93,136563,138365,+,no,1,0.54,0.0,54.8,2.6e-05,!,-
IMGVR_UViG_2518645615_000002|2518645615|2518682943_II_1279,IMGVR_UViG_2518645615_000002|2518645615|2518682943,-,collapsed_g2,RF01998,cm,1,84,1279,1597,+,no,1,0.48,0.0,55.3,0.00014,!,-
IMGVR_UViG_2518645615_000003|2518645615|2518682910|2885-48343_II_21478,IMGVR_UViG_2518645615_000003|2518645615|2518682910|2885-48343,-,collapsed_g2,RF00029,cm,1,93,21478,21781,-,no,1,0.50,0.0,44.8,0.0075,!,-
IMGVR_UViG_2519103121_000001|2519103121|2519118221|274057-322152_II_8852,IMGVR_UViG_2519103121_000001|2519103121|2519118221|274057-322152,-,group-II-D1D4-5,RF02004,cm,1,201,8852,9030,+,no,1,0.40,0.1,121.9,2.4e-23,!,-
IMGVR_UViG_2519899664_000001|2519899664|2519941192|23210-49110_II_8409,IMGVR_UViG_2519899664_000001|2519899664|2519941192|23210-49110,-,group-II-D1D4-6,RF02005,cm,1,225,8409,8096,-,no,1,0.52,0.0,79.2,1.1e-17,!,-
IMGVR_UViG_2519899781_000003|2519899781|2519959786|24868-86308_II_1553,IMGVR_UViG_2519899781_000003|2519899781|2519959786|24868-86308,-,collapsed_g2,RF00029,cm,1,93,1553,3984,-,no,1,0.49,0.0,46.9,0.0023,!,-
IMGVR_UViG_2522125086_000002|2522125086|2522135937|584369-661195_II_61885,IMGVR_UViG_2522125086_000002|2522125086|2522135937|584369-661195,-,group-II-D1D4-3,RF02001,cm,1,171,61885,62051,+,no,1,0.45,0.5,117.2,7.8e-21,!,-
IMGVR_UViG_2523231022_000001|2523231022|2523237211_II_2200,IMGVR_UViG_2523231022_000001|2523231022|2523237211,-,Intron_gpII,RF00029,cm,1,93,2200,2298,+,no,1,0.55,0.0,61.4,6.4e-07,!,-
IMGVR_UViG_2523231059_000012|2523231059|2523241791|6640-29134_II_18256,IMGVR_UViG_2523231059_000012|2523231059|2523241791|6640-29134,-,Intron_gpII,RF00029,cm,1,93,18256,18180,-,no,1,0.56,0.0,55.8,1.5e-05,!,-
IMGVR_UViG_2524023169_000001|2524023169|2524032956_II_5909,IMGVR_UViG_2524023169_000001|2524023169|2524032956,-,Intron_gpII,RF00029,cm,1,93,5909,5825,-,no,1,0.52,0.0,56.5,1e-05,!,-
IMGVR_UViG_2524023183_000005|2524023183|2524034610_II_66,IMGVR_UViG_2524023183_000005|2524023183|2524034610,-,group-II-D1D4-3,RF02001,cm,1,66,66,1,-,3',3,0.68,0.0,47.4,0.001,!,-
IMGVR_UViG_2524023220_000001|2524023220|2524037964|3568463-3606753_II_22354,IMGVR_UViG_2524023220_000001|2524023220|2524037964|3568463-3606753,-,collapsed_g2,RF01998,cm,1,84,22354,22706,+,no,1,0.61,0.0,50.0,0.0022,!,-
IMGVR_UViG_2524023243_000001|2524023243|2524040940|54459-75283_II_7005,IMGVR_UViG_2524023243_000001|2524023243|2524040940|54459-75283,-,group-II-D1D4-4,RF02003,cm,1,138,7005,7142,+,no,1,0.49,0.0,83.0,4.9e-13,!,-
IMGVR_UViG_2524614654_000006|2524614654|2524680933_II_256,IMGVR_UViG_2524614654_000006|2524614654|2524680933,-,group-II-D1D4-3,RF02001,cm,1,171,256,84,-,no,1,0.42,1.3,109.1,7.6e-19,!,-
IMGVR_UViG_2524614712_000003|2524614712|2524685248_II_6470,IMGVR_UViG_2524614712_000003|2524614712|2524685248,-,Intron_gpII,RF00029,cm,1,93,6470,6558,+,no,1,0.52,0.0,52.7,8.6e-05,!,-
IMGVR_UViG_2524614855_000003|2524614855|2524708658|76-40752_II_16252,IMGVR_UViG_2524614855_000003|2524614855|2524708658|76-40752,-,Intron_gpII,RF00029,cm,1,93,16252,16156,-,no,1,0.54,0.0,55.5,1.8e-05,!,-
IMGVR_UViG_2529292737_000002|2529292737|2529332521|45955-80107_II_30194,IMGVR_UViG_2529292737_000002|2529292737|2529332521|45955-80107,-,Intron_gpII,RF00029,cm,1,93,30194,30118,-,no,1,0.53,0.0,51.9,0.00014,!,-
IMGVR_UViG_2529292884_000006|2529292884|2529364133_II_8133,IMGVR_UViG_2529292884_000006|2529292884|2529364133,-,collapsed_g2,RF00029,cm,1,93,8133,10259,-,no,1,0.56,0.0,61.2,7.2e-07,!,-
IMGVR_UViG_2529292884_000011|2529292884|2529364134_II_53,IMGVR_UViG_2529292884_000011|2529292884|2529364134,-,collapsed_g2,RF00029,cm,1,70,53,2179,-,3',3,0.60,0.0,49.4,0.00057,!,-
IMGVR_UViG_2529292907_000021|2529292907|2529367056|1-42935_II_736,IMGVR_UViG_2529292907_000021|2529292907|2529367056|1-42935,-,Intron_gpII,RF00029,cm,1,93,736,822,+,no,1,0.61,0.0,60.8,9.1e-07,!,-
IMGVR_UViG_2529293059_000001|2529293059|2529393145_II_2966,IMGVR_UViG_2529293059_000001|2529293059|2529393145,-,collapsed_g2,RF00029,cm,1,93,2966,5055,-,no,1,0.52,0.0,65.4,6.9e-08,!,-
IMGVR_UViG_2529293240_000008|2529293240|2529416616_II_669,IMGVR_UViG_2529293240_000008|2529293240|2529416616,-,collapsed_g2,RF00029,cm,1,93,669,1535,+,no,1,0.67,0.0,56.6,9.5e-06,!,-
IMGVR_UViG_2531839012_000004|2531839012|2531841907|176424-216304_II_2211,IMGVR_UViG_2531839012_000004|2531839012|2531841907|176424-216304,-,collapsed_g2,RF01998,cm,1,84,2211,2250,-,no,1,0.46,0.0,58.0,3.3e-05,!,-
