# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
OQ555808             -          A.v.I2               -                2    1852   59511   61403   59510   61411   62663    +       3e-95  327.8 102.4  Mycobacterium phage Nanz197, complete genome.
MT837010             -          Ac.ca.I1             -                5     161    5952    5801    5959    5780   20244    -      0.0081   20.9   6.3  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
MT836484             -          Ac.ca.I1             -              123     364   12060   12305   12038   12330   13522    +       0.063   18.0   8.9  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
MT836950             -          Ac.ca.I1             -               29     213    9844   10030    9824   10050   12194    +        0.63   14.7   4.2  UNVERIFIED: Bacteriophage sp. clone scaffold_3480 genomic sequence.
OQ555808             -          Act.pt.I1            -                2    1894   59511   61377   59510   61399   62663    +     5.4e-51  180.4  94.1  Mycobacterium phage Nanz197, complete genome.
LC727904             -          Act.pt.I1            -              664    1238    6112    5522    6140    5501   60207    -     8.5e-14   57.2   4.2  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MK448731             -          Act.pt.I1            -              633    1284   13068   13740   13040   13760   35793    +     5.4e-07   34.7  37.0  Streptococcus phage Javan33, complete genome.
MK448781             -          Act.pt.I1            -              633    1284   10702   11374   10674   11394   40382    +     5.4e-07   34.7  37.0  Streptococcus phage Javan5, complete genome.
MK448888             -          Act.pt.I1            -              633    1284   11040   11712   11012   11732   33765    +     5.4e-07   34.7  37.0  Streptococcus phage Javan26, complete genome.
MT836027             -          Act.pt.I1            -              767    1225    8735    8262    8755    8230   13768    -      0.0018   23.1   8.9  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
MT836071             -          Act.pt.I1            -              672    1234   21300   20754   21356   20732   25949    -       0.005   21.6  16.6  UNVERIFIED: Bacteriophage sp. clone scaffold_1347 genomic sequence.
EU982300             -          Act.pt.I1            -             1544    1925    5475    5879    5450    5880   22689    +       0.013   20.2   5.1  Pseudomonas phage DVM-2008, genomic sequence.
ON107264             -          Act.pt.I1            -              772    1180   86131   86536   86107   86581  133818    +        0.15   16.6  10.9  Bacillus phage BUCT083, complete genome.
KT887559             -          Act.pt.I1            -              729    1280    1346    1909    1325    1962   32637    +        0.64   14.6   8.8  Pseudomonas phage phi3, complete genome.
NC_030940            -          Act.pt.I1            -              729    1280    1346    1909    1325    1962   32637    +        0.64   14.6   8.8  Pseudomonas phage phi3, complete genome.
MT837010             -          Act.pt.I1            -                5     223    5958    5765    5962    5743   20244    -         1.7   13.2   8.2  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
MT836484             -          Act.pt.I1            -              105     299   12013   12216   11989   12241   13522    +         9.7   10.7   4.3  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
EU982300             -          Acv.sp.I1            -             1468    1920    5407    5880    5405    5880   22689    +     3.2e-76  264.2   6.7  Pseudomonas phage DVM-2008, genomic sequence.
OQ555808             -          Acv.sp.I1            -               66    1920   59532   61409   59511   61409   62663    +       1e-62  219.5  99.6  Mycobacterium phage Nanz197, complete genome.
EU982300             -          Acv.sp.I1            -                1     263    5149    5410    5149    5412   22689    +     1.4e-60  212.4  11.7  Pseudomonas phage DVM-2008, genomic sequence.
LC727904             -          Acv.sp.I1            -              502    1218    6272    5525    6362    5504   60207    -     1.3e-15   63.5   5.3  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MK448228             -          Acv.sp.I1            -              662    1215    2041    1488    2070    1458   46342    -     3.1e-09   42.4  10.0  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Acv.sp.I1            -              662    1215   41113   41666   41084   41696   46650    +     3.1e-09   42.4  10.0  Escherichia phage vB_EcoS-716R3, partial genome.
ON470608             -          Acv.sp.I1            -              661    1215    5539    4985    5567    4955   46651    -       1e-08   40.6   9.8  Escherichia phage vB_EcoS-733R5, complete genome.
MT837010             -          Acv.sp.I1            -               50     326    5951    5669    5971    5645   20244    -     3.5e-07   35.6   4.1  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
MT835550             -          Acv.sp.I1            -              872    1255   10622   11032   10596   11056   34009    +     5.6e-05   28.3   8.9  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
MT836484             -          Acv.sp.I1            -              120     389   12011   12290   11991   12310   13522    +     0.00073   24.6   6.0  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
MT836027             -          Acv.sp.I1            -              756    1242    8722    8230    8743    8206   13768    -      0.0047   21.9   8.3  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
KT898134             -          Acv.sp.I1            -              812    1212   37791   38186   37760   38208   60012    +       0.059   18.3  10.9  Aeromonas phage phiARM81mr, complete genome.
MT836950             -          Acv.sp.I1            -               63     312    9835   10087    9815   10108   12194    +        0.93   14.3   9.4  UNVERIFIED: Bacteriophage sp. clone scaffold_3480 genomic sequence.
LC592711             -          Acv.sp.I1            -              640     837  165746  165558  165767  165516  227105    -         6.2   11.6   0.6  Burkholderia phage FLC6 DNA, complete genome.
MK448731             -          Al.ma.I1             -              910    1438   13197   13743   13172   13763   35793    +     3.3e-10   45.2  27.8  Streptococcus phage Javan33, complete genome.
MK448781             -          Al.ma.I1             -              910    1438   10831   11377   10806   11397   40382    +     3.3e-10   45.2  27.8  Streptococcus phage Javan5, complete genome.
MK448888             -          Al.ma.I1             -              910    1438   11169   11715   11144   11735   33765    +     3.3e-10   45.2  27.8  Streptococcus phage Javan26, complete genome.
MT836071             -          Al.ma.I1             -              901    1388   21231   20750   21251   20730   25949    -     1.8e-09   42.8  14.1  UNVERIFIED: Bacteriophage sp. clone scaffold_1347 genomic sequence.
ON470622             -          Al.ma.I1             -              817    1527   41103   41834   41083   41854   46650    +     6.9e-08   37.5  11.8  Escherichia phage vB_EcoS-716R3, partial genome.
MK448228             -          Al.ma.I1             -              817    1527    2051    1320    2071    1299   46342    -     6.9e-08   37.5  11.7  Klebsiella phage ST15-VIM1phi2.1, complete genome.
LC727904             -          Al.ma.I1             -              914    1386    6006    5525    6027    5499   60207    -       7e-08   37.5   3.3  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
ON470608             -          Al.ma.I1             -              817    1527    5548    4817    5568    4797   46651    -     2.6e-07   35.6  11.7  Escherichia phage vB_EcoS-733R5, complete genome.
ON107264             -          Al.ma.I1             -              894    1385   86105   86590   86081   86610  133818    +       7e-06   30.9  15.5  Bacillus phage BUCT083, complete genome.
KT887559             -          Al.ma.I1             -              916    1645    1382    2135    1361    2160   32637    +     5.8e-05   27.8  11.0  Pseudomonas phage phi3, complete genome.
NC_030940            -          Al.ma.I1             -              916    1645    1382    2135    1361    2160   32637    +     5.8e-05   27.8  11.0  Pseudomonas phage phi3, complete genome.
OQ555808             -          Al.ma.I1             -              918    1432   60240   60751   60221   60773   62663    +      0.0099   20.5  25.4  Mycobacterium phage Nanz197, complete genome.
MT836027             -          Al.ma.I1             -              917    1378    8733    8260    8754    8037   13768    -       0.017   19.7   8.7  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
MT836602             -          Al.ma.I1             -              898    1393    4108    4601    4087    4817   16695    +        0.44   15.0  12.6  UNVERIFIED: Bacteriophage sp. clone scaffold_2602 genomic sequence.
MN270258             -          Al.ma.I1             -              916    1376   81250   81701   81230   81722  110666    +         6.2   11.2  25.0  Streptococcus phage phi-SgaBSJ27_rum, complete genome.
MN270259             -          Al.ma.I1             -              916    1376   81286   81737   81266   81758  106491    +         6.2   11.2  25.0  Streptococcus phage phi-SgaBSJ31_rum, complete genome.
OQ555808             -          Alc.vi.I1            -                2    1821   59511   61398   59510   61410   62663    +     6.7e-71  246.8  98.1  Mycobacterium phage Nanz197, complete genome.
LC727904             -          Alc.vi.I1            -              579    1156    6113    5517    6134    5497   60207    -     4.1e-15   62.1   4.1  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
KT887559             -          Alc.vi.I1            -              680    1189    1381    1905    1361    1927   32637    +     1.1e-07   37.5   8.3  Pseudomonas phage phi3, complete genome.
NC_030940            -          Alc.vi.I1            -              680    1189    1381    1905    1361    1927   32637    +     1.1e-07   37.5   8.3  Pseudomonas phage phi3, complete genome.
MT835550             -          Alc.vi.I1            -              658    1222   10484   11066   10455   11095   34009    +     9.7e-07   34.4  11.8  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
MK448228             -          Alc.vi.I1            -              579    1124    2054    1506    2114    1468   46342    -     4.2e-06   32.3  10.8  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470608             -          Alc.vi.I1            -              579    1124    5551    5003    5611    4970   46651    -     7.9e-06   31.4  10.6  Escherichia phage vB_EcoS-733R5, complete genome.
ON470622             -          Alc.vi.I1            -              581    1126   41102   41650   41079   41687   46650    +     7.9e-06   31.4  10.9  Escherichia phage vB_EcoS-716R3, partial genome.
MT836027             -          Alc.vi.I1            -              681    1170    8734    8230    8754    8210   13768    -       0.025   19.8   8.9  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
AFYI01000007         -          Alc.vi.I1            -               22     104  178159  178077  178167  178067  501190    -       0.085   18.0   4.5  Salmonella enterica subsp. enterica serovar Infantis str. SARB27 SEENIN0B_Contig0.7, whole genome shotgun sequence.
ON107264             -          Alc.vi.I1            -              682    1149   86128   86591   86107   86611  133818    +        0.15   17.2  13.0  Bacillus phage BUCT083, complete genome.
LC778250             -          Alc.vi.I1            -              631     877   35496   35739   35476   35768   57397    +        0.35   16.0   1.8  Aeromonas phage phiWae15 DNA, complete genome.
EU982300             -          Alc.vi.I1            -             1393    1816    5402    5865    5386    5880   22689    +           2   13.5   7.0  Pseudomonas phage DVM-2008, genomic sequence.
NC_069753            -          Alc.vi.I1            -             1129    1552   14440   14856   14417   14870   39019    +         4.7   12.2   4.8  Pseudomonas phage PSV3 clone NODE_4 genomic sequence.
OP712479             -          Alc.vi.I1            -             1129    1552   14440   14856   14417   14870   39019    +         4.7   12.2   4.8  Pseudomonas phage PSV3 clone NODE_4 genomic sequence.
MN988519             -          Alc.vi.I1            -              826    1049   82778   82570   82813   82548  170978    -         4.9   12.2   3.2  Rhizobium phage RHph_I1_18, complete genome.
NC_069752            -          Alc.vi.I1            -             1129    1552   14471   14887   14448   14908   40244    +         6.5   11.8   3.4  Pseudomonas phage PSV3 clone NODE_3 genomic sequence.
OP712474             -          Alc.vi.I1            -             1129    1552   14471   14887   14448   14908   40244    +         6.5   11.8   3.4  Pseudomonas phage PSV3 clone NODE_3 genomic sequence.
OQ555808             -          Alc.vi.I2            -                2    2001   59511   61408   59510   61409   62663    +     1.9e-81  281.4 103.5  Mycobacterium phage Nanz197, complete genome.
MT835550             -          Alc.vi.I2            -              826    1488   10509   11246   10483   11279   34009    +     3.3e-10   45.5  15.0  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
LC727904             -          Alc.vi.I2            -              812    1278    6010    5532    6070    5511   60207    -     7.7e-10   44.3   3.5  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
ON470608             -          Alc.vi.I2            -              804    1279    5463    4994    5489    4956   46651    -       3e-06   32.4   7.7  Escherichia phage vB_EcoS-733R5, complete genome.
MK448228             -          Alc.vi.I2            -              804    1279    1966    1497    1992    1458   46342    -     3.2e-06   32.3   7.8  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Alc.vi.I2            -              804    1278   41188   41656   41162   41695   46650    +     3.2e-06   32.3   7.8  Escherichia phage vB_EcoS-716R3, partial genome.
MT836484             -          Alc.vi.I2            -              133     293   12043   12217   11970   12236   13522    +       4e-05   28.7   4.2  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
KT887559             -          Alc.vi.I2            -              811    1489    1379    2056    1359    2081   32637    +      0.0001   27.3   9.8  Pseudomonas phage phi3, complete genome.
NC_030940            -          Alc.vi.I2            -              811    1489    1379    2056    1359    2081   32637    +      0.0001   27.3   9.8  Pseudomonas phage phi3, complete genome.
MT837010             -          Alc.vi.I2            -                4     182    5959    5800    5962    5778   20244    -        0.62   14.8   5.5  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
MK448731             -          Alc.vi.I2            -              825    1332   13210   13738   13190   13758   35793    +         1.4   13.6  24.3  Streptococcus phage Javan33, complete genome.
MK448781             -          Alc.vi.I2            -              825    1332   10844   11372   10824   11392   40382    +         1.4   13.6  24.3  Streptococcus phage Javan5, complete genome.
MK448888             -          Alc.vi.I2            -              825    1332   11182   11710   11162   11730   33765    +         1.4   13.6  24.3  Streptococcus phage Javan26, complete genome.
LC778250             -          Alc.vi.I2            -              895    1325   35617   36050   35583   36075   57397    +           3   12.5   6.5  Aeromonas phage phiWae15 DNA, complete genome.
MW384823             -          Alc.vi.I2            -              263     505  231145  231430  231123  231450  241904    +         6.7   11.4   2.8  Erwinia phage pEa_SNUABM_43, complete genome.
MW812340             -          Alc.vi.I2            -              263     505  231145  231430  231123  231450  241904    +         6.7   11.4   2.8  Erwinia phage pEa_SNUABM_42, complete genome.
MK448731             -          Alk.or.I1            -              687    1710   12985   14052   12964   14076   35793    +     5.7e-21   81.6  64.5  Streptococcus phage Javan33, complete genome.
MK448781             -          Alk.or.I1            -              687    1710   10619   11686   10598   11710   40382    +     5.7e-21   81.6  64.5  Streptococcus phage Javan5, complete genome.
MK448888             -          Alk.or.I1            -              687    1710   10957   12024   10936   12048   33765    +     5.7e-21   81.6  64.5  Streptococcus phage Javan26, complete genome.
MT836071             -          Alk.or.I1            -              774    1368   21339   20754   21395   20733   25949    -       1e-10   47.6  20.0  UNVERIFIED: Bacteriophage sp. clone scaffold_1347 genomic sequence.
LC727904             -          Alk.or.I1            -              912    1364    5992    5531    6024    5510   60207    -     1.3e-10   47.3   2.3  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MT836602             -          Alk.or.I1            -              879    1744    4105    5004    4085    5025   16695    +       1e-08   41.0  26.1  UNVERIFIED: Bacteriophage sp. clone scaffold_2602 genomic sequence.
MT836027             -          Alk.or.I1            -              896    1410    8738    8214    8763    8186   13768    -     1.8e-07   36.9  10.4  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
ON107264             -          Alk.or.I1            -              865    1360   86092   86581   86070   86602  133818    +     6.7e-06   31.7  16.3  Bacillus phage BUCT083, complete genome.
FN297812             -          Alk.or.I1            -              973    1374   13782   14173   13755   14532   42612    +      0.0018   23.6   5.8  Vibrio phage VP58.5, complete genome.
NC_027981            -          Alk.or.I1            -              973    1374   13782   14173   13755   14532   42612    +      0.0018   23.6   5.8  Vibrio phage VP58.5, complete genome.
AY133112             -          Alk.or.I1            -              966    1360   29278   29672   29254   29694   43198    +       0.003   22.9   3.3  Vibrio harveyi bacteriophage VHML, complete genome.
NC_004456            -          Alk.or.I1            -              966    1360   29278   29672   29254   29694   43198    +       0.003   22.9   3.3  Vibrio phage VHML, complete genome.
ON470608             -          Alk.or.I1            -              961    1352    5388    4997    5410    4964   46651    -       0.012   20.9   4.4  Escherichia phage vB_EcoS-733R5, complete genome.
ON470622             -          Alk.or.I1            -              961    1352   41263   41654   41241   41687   46650    +       0.015   20.6   4.5  Escherichia phage vB_EcoS-716R3, partial genome.
MK448228             -          Alk.or.I1            -              961    1352    1891    1500    1913    1468   46342    -       0.015   20.5   4.5  Klebsiella phage ST15-VIM1phi2.1, complete genome.
KT887559             -          Alk.or.I1            -              887    1335    1369    1800    1353    1822   32637    +       0.022   20.1   7.3  Pseudomonas phage phi3, complete genome.
NC_030940            -          Alk.or.I1            -              887    1335    1369    1800    1353    1822   32637    +       0.022   20.1   7.3  Pseudomonas phage phi3, complete genome.
LC727904             -          Alk.or.I1            -             1392    1575    5404    5225    5424    5036   60207    -         4.8   12.3   3.2  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
OQ555808             -          Am.de.I1             -                3    1885   59512   61408   59508   61409   62663    +    2.6e-100  344.2 102.6  Mycobacterium phage Nanz197, complete genome.
LC727904             -          Am.de.I1             -              630    1195    6092    5515    6114    5494   60207    -     4.1e-20   78.6   4.0  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MK448228             -          Am.de.I1             -              622    1224    2048    1419    2079    1386   46342    -     6.4e-17   68.0  11.9  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Am.de.I1             -              622    1224   41106   41735   41076   41768   46650    +       7e-17   67.9  12.0  Escherichia phage vB_EcoS-716R3, partial genome.
ON470608             -          Am.de.I1             -              622    1224    5545    4916    5576    4883   46651    -     2.3e-16   66.2  11.7  Escherichia phage vB_EcoS-733R5, complete genome.
MT837010             -          Am.de.I1             -                2     191    5961    5764    5962    5743   20244    -     2.5e-09   42.9   8.1  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
MT836950             -          Am.de.I1             -               14     355    9829   10164    9819   10184   12194    +     1.6e-06   33.6  11.4  UNVERIFIED: Bacteriophage sp. clone scaffold_3480 genomic sequence.
EU982300             -          Am.de.I1             -             1514    1886    5486    5880    5462    5880   22689    +     2.6e-06   32.9   5.3  Pseudomonas phage DVM-2008, genomic sequence.
MT836484             -          Am.de.I1             -              111     352   12050   12291   12028   12313   13522    +     6.7e-06   31.5   8.0  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
MT835550             -          Am.de.I1             -              723    1248   10506   11063   10439   11118   34009    +     2.6e-05   29.6  11.8  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
MG711466             -          Am.de.I1             -              792    1273   49621   50112   49600   50137   54725    +      0.0015   23.7   4.4  Faecalibacterium phage FP_Toutatis, complete genome.
NC_047915            -          Am.de.I1             -              792    1273   49621   50112   49600   50137   54725    +      0.0015   23.7   4.4  Faecalibacterium phage FP_Toutatis, complete genome.
EU982300             -          Am.de.I1             -               19     146    5210    5337    5190    5367   22689    +       0.062   18.4   8.2  Pseudomonas phage DVM-2008, genomic sequence.
BK063676             -          Am.de.I1             -              702    1040   30181   30522   30151   30531   37696    +       0.095   17.8   5.3  TPA_asm: Caudoviricetes sp. vir215 genomic sequence.
MT836027             -          Am.de.I1             -              783    1183    8663    8254    8686    8232   13768    -        0.68   14.9   6.2  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
MT835684             -          Am.de.I1             -                2     118   15795   15685   15796   15664   21788    -         1.4   13.9   6.3  UNVERIFIED: Bacteriophage sp. clone scaffold_438 genomic sequence.
MT836071             -          Am.de.I1             -              719    1184   21215   20753   21236   20713   25949    -         4.3   12.3  12.0  UNVERIFIED: Bacteriophage sp. clone scaffold_1347 genomic sequence.
OQ555808             -          B.h.I1               -                5    1883   59514   61409   59509   61409   62663    +     2.6e-52  184.8  95.5  Mycobacterium phage Nanz197, complete genome.
MT836484             -          B.h.I1               -              113     358   12052   12296   12030   12322   13522    +       2e-08   39.5   8.8  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
MT836027             -          B.h.I1               -              706    1214    8738    8220    8774    8200   13768    -     3.9e-07   35.2  10.6  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
MT836950             -          B.h.I1               -               22     356    9837   10164    9822   10185   12194    +     1.2e-06   33.6  12.9  UNVERIFIED: Bacteriophage sp. clone scaffold_3480 genomic sequence.
MT837010             -          B.h.I1               -                2     165    5961    5795    5962    5757   20244    -     2.8e-05   29.0   7.5  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
ON107264             -          B.h.I1               -              711    1181   86125   86592   86096   86612  133818    +     3.3e-05   28.8  14.6  Bacillus phage BUCT083, complete genome.
EU982300             -          B.h.I1               -             1804    1883    5800    5880    5780    5880   22689    +      0.0002   26.2   1.0  Pseudomonas phage DVM-2008, genomic sequence.
ON470622             -          B.h.I1               -              723    1157   41212   41649   41190   41672   46650    +     0.00088   24.1   7.5  Escherichia phage vB_EcoS-716R3, partial genome.
MK448228             -          B.h.I1               -              723    1157    1942    1505    1964    1483   46342    -      0.0009   24.0   7.5  Klebsiella phage ST15-VIM1phi2.1, complete genome.
EU982300             -          B.h.I1               -               28     206    5219    5394    5199    5421   22689    +      0.0016   23.2   9.6  Pseudomonas phage DVM-2008, genomic sequence.
LC727904             -          B.h.I1               -              715    1178    6002    5527    6043    5511   60207    -      0.0021   22.8   3.2  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
ON470608             -          B.h.I1               -              723    1157    5439    5002    5461    4979   46651    -      0.0021   22.8   7.3  Escherichia phage vB_EcoS-733R5, complete genome.
MT836071             -          B.h.I1               -              869    1174   21060   20758   21080   20731   25949    -       0.013   20.2   8.5  UNVERIFIED: Bacteriophage sp. clone scaffold_1347 genomic sequence.
MT835684             -          B.h.I1               -             1649    1858   15666   15462   15689   15448   21788    -        0.63   14.6   1.9  UNVERIFIED: Bacteriophage sp. clone scaffold_438 genomic sequence.
MK448781             -          B.h.I1               -              717    1234   10841   11380   10818   11400   40382    +         0.7   14.5  28.2  Streptococcus phage Javan5, complete genome.
MK448731             -          B.h.I1               -              717    1234   13207   13746   13185   13767   35793    +        0.72   14.4  28.2  Streptococcus phage Javan33, complete genome.
MK448888             -          B.h.I1               -              717    1234   11179   11718   11157   11739   33765    +        0.72   14.4  28.2  Streptococcus phage Javan26, complete genome.
MT836320             -          B.h.I1               -                1     219   10509   10720   10509   10741   11107    +        0.88   14.1   5.3  UNVERIFIED: Bacteriophage sp. clone scaffold_1927 genomic sequence.
MF185731             -          B.h.I1               -              957    1217    9993   10286    9961   10308   58247    +         3.2   12.3   2.7  Arthrobacter phage Molivia, complete genome.
NC_042001            -          B.h.I1               -              957    1217    9993   10286    9961   10308   58247    +         3.2   12.3   2.7  Arthrobacter phage Molivia, complete genome.
OQ555808             -          B.sp.I1              -                4    1597   59513   61137   59509   61400   62663    +     9.1e-29  107.3  92.1  Mycobacterium phage Nanz197, complete genome.
MK448731             -          B.sp.I1              -              573    1224   13069   13745   13047   13766   35793    +     7.1e-20   77.8  40.1  Streptococcus phage Javan33, complete genome.
MK448781             -          B.sp.I1              -              573    1224   10703   11379   10681   11400   40382    +     7.1e-20   77.8  40.1  Streptococcus phage Javan5, complete genome.
