gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
CP133956.1_16	24943	25758	816	1	0.350	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_17	25761	26264	504	1	0.327	11	GGA/GAG/AGG	GENOMAD.189408.CV	1.087e-08	56	0	0	0	1	NA	NA	NA	PF04093;COG2891;K03571;TIGR03426	Cell shape-determining protein MreD
CP133956.1_18	26360	27538	1179	1	0.447	11	AGGAG(G)/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_19	27643	28605	963	1	0.401	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_20	28965	29735	771	1	0.375	11	GGA/GAG/AGG	GENOMAD.001122.CC	1.699e-36	141	1	0	0	1	NA	NA	NA	PF02565;PF11967;TIGR00613;K01424;COG1381	DNA repair protein RecO
CP133956.1_21	29851	30858	1008	1	0.416	11	AGGAG	GENOMAD.090971.CP	7.043e-41	157	0	0	0	1	NA	NA	NA	PF02504;K03621;TIGR00182;COG0416	Fatty acid synthesis protein
CP133956.1_22	30851	31099	249	1	0.329	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_23	31249	31959	711	1	0.406	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_24	32072	35878	3807	1	0.439	11	GGA/GAG/AGG	GENOMAD.132565.CV	6.165e-91	331	0	0	0	2561	Caudoviricetes	NA	NA	PF18072;PF02700;TIGR01857;K01952;COG0046	phosphoribosylformylglycinamidine synthase, clade II
CP133956.1_25	35997	37454	1458	1	0.450	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_26	37511	38533	1023	1	0.454	11	AGGAGG	GENOMAD.126472.VC	1.019e-32	133	0	0	0	2561	Caudoviricetes	NA	NA	TIGR00878;COG0150	phosphoribosylaminoimidazole synthetase
CP133956.1_27	38530	39087	558	1	0.423	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_28	39234	40781	1548	1	0.443	11	AGGAG	GENOMAD.115175.CV	1.11e-45	177	0	0	0	1	NA	NA	NA	PF01808;PF02142;K00602;TIGR00355;COG0138	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
CP133956.1_29	41159	42313	1155	-1	0.439	11	AGGAGG	GENOMAD.013350.VV	0.000773	44	0	0	0	2561	Caudoviricetes	NA	NA	PF17427	Phage Single-stranded DNA-binding protein
CP133956.1_30	42704	43966	1263	1	0.470	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_31	44200	44688	489	1	0.507	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_32	44675	45748	1074	1	0.479	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_33	45763	45987	225	1	0.382	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_34	46524	47876	1353	1	0.482	11	GGA/GAG/AGG	GENOMAD.129213.CV	1.186e-08	60	1	0	0	2561	Caudoviricetes	NA	NA	TIGR00928;COG0015	adenylosuccinate lyase
CP133956.1_35	48174	48419	246	1	0.415	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_36	48416	49087	672	1	0.330	11	AGGAG	GENOMAD.161440.PC	1.249e-73	247	0	0	0	1	NA	NA	NA	PF18710;K20342;TIGR01716	ComR tetratricopeptide
CP133956.1_37	49170	49268	99	1	0.323	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_38	49302	50309	1008	1	0.436	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_39	50550	51008	459	1	0.418	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_40	51014	51415	402	1	0.388	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_41	51412	53193	1782	1	0.402	11	GGA/GAG/AGG	GENOMAD.167740.CP	0.0003521	46	0	0	0	1	NA	NA	NA	K11941;COG1835	Peptidoglycan/LPS O-acetylase OafA/YrhL, contains acyltransferase and SGNH-hydrolase domains
CP133956.1_42	53613	56255	2643	1	0.425	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_43	56750	57802	1053	1	0.411	11	GGAG/GAGG	GENOMAD.012388.CC	1.044e-11	69	0	0	0	1	NA	NA	NA	PF16912;K18012;TIGR01751;COG2130	crotonyl-CoA carboxylase/reductase
CP133956.1_44	58005	59021	1017	1	0.449	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_45	59737	61329	1593	1	0.281	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_46	61492	62610	1119	1	0.292	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_47	62603	63778	1176	1	0.298	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_48	63762	64625	864	-1	0.265	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_49	65261	66745	1485	1	0.434	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_50	66776	68086	1311	1	0.429	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_51	68466	68774	309	1	0.414	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_52	69072	69698	627	1	0.410	11	AGGA/GGAG/GAGG	GENOMAD.057410.CP	8.617e-34	131	1	0	0	1	NA	NA	NA	TIGR03625;COG0087	50S ribosomal protein uL3, bacterial form
CP133956.1_53	69723	70346	624	1	0.417	11	AGGAG(G)/GGAGG	GENOMAD.060214.CV	5.356e-49	175	1	0	0	1	NA	NA	NA	PF00573;COG0088;K02926;TIGR03953	Ribosomal protein L4
CP133956.1_54	70346	70642	297	1	0.377	11	AGGAGG	GENOMAD.058867.CV	7.103e-30	114	1	0	0	1	NA	NA	NA	PF00276;COG0089;TIGR03636;K02892	Ribosomal protein L23
CP133956.1_55	70660	71493	834	1	0.429	11	AGGAGG	GENOMAD.058738.CV	3.988e-67	231	1	0	0	1	NA	NA	NA	PF03947;TIGR01171;COG0090	ribosomal protein L2, bacterial/organellar
CP133956.1_56	71605	71883	279	1	0.416	11	AGGAG/GGAGG	GENOMAD.058748.CV	6.954e-43	151	1	0	0	1	NA	NA	NA	PF00203;K02965;COG0185;TIGR01050	Ribosomal protein S19
CP133956.1_57	71899	72243	345	1	0.400	11	AGGAGG	GENOMAD.058918.CV	1.089e-40	146	1	0	0	1	NA	NA	NA	PF00237;K02890;COG0091;TIGR01044	Ribosomal protein L22
CP133956.1_58	72256	72909	654	1	0.424	11	AGGAGG	GENOMAD.000002.CC	5.695e-53	187	1	0	0	1	NA	NA	NA	PF05316;K02982;TIGR01009;COG0092	ribosomal protein S3, bacterial type
CP133956.1_59	72913	73326	414	1	0.437	11	AGGAGG	GENOMAD.061469.CV	5.468e-67	223	1	0	0	1	NA	NA	NA	PF00252;K02878;TIGR01164;COG0197	ribosomal protein L16, bacterial/organelle
CP133956.1_60	73336	73542	207	1	0.367	11	AGGAG	GENOMAD.000093.CC	1.388e-10	57	1	0	0	1	NA	NA	NA	PF00831;COG0255;K02904;TIGR00012	Ribosomal protein L29
CP133956.1_61	73570	73830	261	1	0.387	11	AGGAG/GGAGG	GENOMAD.051620.CP	1.525e-24	98	1	0	0	1	NA	NA	NA	PF00366;TIGR03635;COG0186	ribosomal protein uS17, bacterial form
CP133956.1_62	73855	74223	369	1	0.450	11	AGGAG	GENOMAD.000007.CC	9.662e-54	184	1	0	0	1	NA	NA	NA	PF00238;COG0093;TIGR01067	Ribosomal protein L14
CP133956.1_63	74307	74612	306	1	0.386	11	AGGAG	GENOMAD.000028.CC	9.831e-36	131	1	0	0	1	NA	NA	NA	PF17136;PF00467;K02895;TIGR01079;COG0198	ribosomal protein L24, bacterial/organelle
CP133956.1_64	74636	75178	543	1	0.407	11	AGGAG	GENOMAD.000004.CC	1.761e-83	273	1	0	0	1	NA	NA	NA	PF00673;PF00281;K02931;COG0094	Ribosomal protein L5
CP133956.1_65	75194	75379	186	1	0.425	11	AGxAGG/AGGxGG	GENOMAD.109953.CP	4.369e-18	78	0	0	0	1	NA	NA	NA	PF00253;COG0199	Ribosomal protein S14
CP133956.1_66	75712	76110	399	1	0.363	11	AGGAG	GENOMAD.000019.CC	6.187e-47	165	1	0	0	1	NA	NA	NA	PF00410;K02994;COG0096	Ribosomal protein S8
CP133956.1_67	76432	76968	537	1	0.393	11	AGGAG/GGAGG	GENOMAD.000001.CC	1.696e-57	198	1	0	0	1	NA	NA	NA	PF00347;K02933;TIGR03654;COG0097	ribosomal protein L6, bacterial type
CP133956.1_68	77071	77427	357	1	0.445	11	GGAG/GAGG	GENOMAD.076560.CV	2.39e-42	151	1	0	0	1	NA	NA	NA	PF00861;TIGR00060;COG0256;K02881	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
CP133956.1_69	77446	77940	495	1	0.434	11	GGAGG	GENOMAD.000010.CC	3.575e-51	179	1	0	0	1	NA	NA	NA	PF00333;PF03719;TIGR01021;COG0098	ribosomal protein S5, bacterial/organelle type
CP133956.1_70	77955	78137	183	1	0.383	11	GGA/GAG/AGG	GENOMAD.000148.CC	4.743e-10	55	0	0	0	1	NA	NA	NA	PF00327;TIGR01308;COG1841	ribosomal protein L30, bacterial/organelle
CP133956.1_71	78339	78779	441	1	0.424	11	AGGAG	GENOMAD.000024.CC	2.592e-46	164	1	0	0	1	NA	NA	NA	PF00828;TIGR01071;K02876;COG0200	ribosomal protein L15, bacterial/organelle
CP133956.1_72	78796	80100	1305	1	0.383	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_73	80252	80893	642	1	0.413	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_74	81011	81229	219	1	0.384	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_75	81255	81371	117	1	0.402	11	GGAGG	GENOMAD.000435.CC	4.164e-15	68	0	0	0	1	NA	NA	NA	PF00444;COG0257;TIGR01022	Ribosomal protein L36
CP133956.1_76	81389	81754	366	1	0.399	11	AGGAG	GENOMAD.000014.CC	1.362e-41	149	1	0	0	1	NA	NA	NA	PF00416;COG0099;TIGR03631;K02964	Ribosomal protein S13
CP133956.1_77	81772	82155	384	1	0.445	11	AGGAGG	GENOMAD.000013.CC	6.685e-52	179	1	0	0	1	NA	NA	NA	PF00411;K02948;COG0100;TIGR03628	Ribosomal protein S11
CP133956.1_78	82202	83140	939	1	0.382	11	GGAG/GAGG	GENOMAD.000031.CC	7.207e-96	316	1	0	0	1	NA	NA	NA	PF01193;K03040;TIGR02027;COG0202	DNA-directed RNA polymerase, alpha subunit, bacterial and chloroplast-type
CP133956.1_79	83155	83541	387	1	0.416	11	AGGAGG	GENOMAD.000035.CC	6.188e-37	136	1	0	0	1	NA	NA	NA	PF01196;COG0203;TIGR00059	Ribosomal protein L17
CP133956.1_80	84846	85541	696	1	0.432	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_81	85584	86096	513	1	0.417	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_82	86086	86961	876	1	0.360	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_83	86982	87275	294	1	0.367	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_84	94396	95526	1131	-1	0.372	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_85	96092	97231	1140	1	0.513	11	AGGAG	GENOMAD.089557.VV	4.478e-15	80	0	0	0	2561	Caudoviricetes	NA	NA	K03987	NA
CP133956.1_86	97725	98249	525	1	0.442	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_87	98464	99315	852	1	0.444	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_88	99385	99828	444	1	0.383	11	AGGAG	GENOMAD.181857.PC	2.143e-65	219	0	0	0	1	NA	NA	NA	PF03965;TIGR04472;K18909;COG2005	mobile rSAM pair MarR family regulator
CP133956.1_89	99832	100551	720	1	0.447	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_90	100544	101353	810	1	0.420	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_91	101388	102644	1257	-1	0.453	11	GGAG/GAGG	GENOMAD.171925.VC	9.908e-54	198	0	0	0	2561	Caudoviricetes	NA	NA	PF00579;K01866;TIGR00234;COG0162	tyrosyl-tRNA synthetase
CP133956.1_92	102749	105049	2301	1	0.447	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_93	105311	108877	3567	1	0.445	11	AGGAG	GENOMAD.061759.CV	9.604e-60	230	1	0	0	2561	Caudoviricetes	NA	NA	PF04563;K03043;TIGR02013;COG0085	DNA-directed RNA polymerase, beta subunit
CP133956.1_94	108968	112603	3636	1	0.466	11	GGA/GAG/AGG	GENOMAD.121586.VV	0.0008408	46	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
CP133956.1_95	113174	113728	555	1	0.339	11	AGGAG	GENOMAD.071797.PP	9.895e-31	121	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_96	113725	113877	153	1	0.209	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_97	114292	115338	1047	1	0.425	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_98	115399	115764	366	1	0.434	11	GGAG/GAGG	GENOMAD.044521.CC	5.046e-52	179	0	0	0	1	NA	NA	NA	PF06279;COG4699	NA
CP133956.1_99	116301	116849	549	1	0.419	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_100	116869	117384	516	1	0.386	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_101	117408	118211	804	1	0.405	11	None	GENOMAD.224170.VP	0.0004032	44	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_102	118296	119249	954	1	0.397	11	None	GENOMAD.194282.CP	2.422e-35	140	0	0	0	1	NA	NA	NA	PF20473;COG0286;TIGR02987;K07317	Type I restriction-modification system, DNA methylase subunit
CP133956.1_103	119309	120508	1200	1	0.431	11	GGAG/GAGG	GENOMAD.124300.CP	4.706e-95	318	0	0	0	2561	Caudoviricetes	NA	NA	PF00871;PF06130;K00925;TIGR00016;COG0282	acetate kinase
CP133956.1_104	120873	121463	591	-1	0.382	11	AGGA	GENOMAD.077451.PP	1.299e-77	257	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_105	121986	124028	2043	1	0.417	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_106	124030	124317	288	1	0.462	11	AGGAGG	GENOMAD.171879.CP	7.692e-05	42	0	0	0	1	NA	NA	NA	PF02302;COG1440;K02774;TIGR00853	Phosphotransferase system cellobiose-specific component IIB
CP133956.1_107	124330	125673	1344	1	0.438	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_108	125676	126533	858	1	0.465	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_109	126530	127462	933	1	0.474	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_110	128014	129909	1896	1	0.437	11	AGGAG	GENOMAD.053052.VV	1.187e-34	145	0	0	0	1	NA	NA	NA	PF01431;K07386;COG3590	Predicted metalloendopeptidase
CP133956.1_111	130109	131149	1041	-1	0.443	11	GGAGG	GENOMAD.116387.CV	9.531e-20	94	0	0	0	2561	Caudoviricetes	NA	NA	PF00889;TIGR00116;COG0264	translation elongation factor Ts
CP133956.1_112	131317	132087	771	-1	0.436	11	AGGAG	GENOMAD.095944.CV	4.602e-06	50	1	0	0	1	NA	NA	NA	PF00318;K02967;TIGR01012;COG0052	ribosomal protein uS2, eukaryotic/archaeal form
CP133956.1_113	132548	134080	1533	-1	0.438	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_114	134101	134661	561	-1	0.414	11	AGGAGG	GENOMAD.136156.CP	7.905e-07	51	0	0	0	1	NA	NA	NA	PF13778;TIGR03137;COG1225;K24130	peroxiredoxin
CP133956.1_115	135286	135495	210	1	0.419	11	AGGA	GENOMAD.196691.CP	0.0001353	40	0	0	0	1	NA	NA	NA	PF00313;COG1278;TIGR02381	Cold shock protein, CspA family
CP133956.1_116	135665	136126	462	1	0.416	11	AGGAG	GENOMAD.002812.CC	4.186e-27	109	0	0	0	1	NA	NA	NA	PF05848;PF17727;COG4463;K03708	Transcriptional regulator CtsR
CP133956.1_117	136129	138567	2439	1	0.441	11	GGA/GAG/AGG	GENOMAD.046845.VV	5.449e-29	128	0	0	0	2561	Caudoviricetes	NA	NA	PF10431	NA
CP133956.1_118	139340	139774	435	1	0.343	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_119	139776	139907	132	1	0.311	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_120	139995	140417	423	1	0.345	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_121	140428	140523	96	1	0.323	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_122	140646	141077	432	1	0.359	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_123	141079	142368	1290	1	0.436	11	AGGAG	GENOMAD.212947.VC	2.615e-09	62	0	0	0	1	NA	NA	NA	PF11187;COG3675	Mbeg1-like
CP133956.1_124	142350	142742	393	1	0.440	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_125	142723	143013	291	1	0.460	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_126	143208	144011	804	-1	0.405	11	None	GENOMAD.224170.VP	0.0004032	44	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_127	144035	144550	516	-1	0.386	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_128	144692	145957	1266	-1	0.453	11	AGGAG	GENOMAD.212854.VC	7.562e-239	735	0	0	0	1	NA	NA	NA	PF05816;COG3853	Uncharacterized conserved protein YaaN involved in tellurite resistance
CP133956.1_129	145971	146828	858	-1	0.442	11	AGGA	GENOMAD.164417.VV	1.753e-117	377	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
CP133956.1_130	147171	148463	1293	1	0.450	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_131	148578	149351	774	-1	0.432	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_132	149476	150222	747	1	0.443	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_133	150237	151217	981	1	0.455	11	GGA/GAG/AGG	GENOMAD.151146.CP	6.333e-37	145	0	0	0	1	NA	NA	NA	PF04198;PF18010;K05346;COG2390;TIGR02812	DNA-binding transcriptional regulator LsrR, DeoR family
CP133956.1_134	151456	151776	321	1	0.399	11	AGGAG	GENOMAD.162482.CP	2.886e-11	61	0	0	0	1	NA	NA	NA	PF02255;COG1447;TIGR00823;K02786	Phosphotransferase system cellobiose-specific component IIA
CP133956.1_135	151801	152109	309	1	0.434	11	AGGAGG	GENOMAD.158256.CP	2.665e-18	81	0	0	0	1	NA	NA	NA	PF02302;TIGR00853;COG1440;K02774	PTS system, lactose/cellobiose family IIB component
CP133956.1_136	152120	153424	1305	1	0.444	11	AGGAG	GENOMAD.152002.CP	2.31e-63	227	0	0	0	1	NA	NA	NA	K02761;COG1455	Phosphotransferase system cellobiose-specific component IIC
CP133956.1_137	153705	156122	2418	1	0.452	11	AGGAGG	GENOMAD.133359.CP	9.315e-57	217	0	0	0	1	NA	NA	NA	PF02901;K23121;TIGR04394;COG1882	choline trimethylamine-lyase
CP133956.1_138	156137	156805	669	1	0.445	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_139	156930	158021	1092	1	0.451	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_140	158528	159580	1053	1	0.444	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_141	159543	160187	645	1	0.447	11	AGxAGG/AGGxGG	GENOMAD.167697.CV	1.289e-06	51	0	0	0	1	NA	NA	NA	PF00300;TIGR03162;COG2062;K15634	alpha-ribazole phosphatase
CP133956.1_142	160383	161372	990	1	0.504	11	AGGAG	GENOMAD.089557.VV	2.183e-13	74	0	0	0	2561	Caudoviricetes	NA	NA	K03987	NA
CP133956.1_143	161608	162954	1347	-1	0.411	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_144	164478	164993	516	-1	0.298	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_145	165467	166684	1218	-1	0.259	11	GGAG/GAGG	GENOMAD.206246.PC	2.839e-71	249	0	0	0	1	NA	NA	NA	PF00083;K08217;COG2271;TIGR00924	Sugar (and other) transporter
CP133956.1_146	166665	167222	558	-1	0.272	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_147	167251	167766	516	1	0.386	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_148	167790	168593	804	1	0.405	11	None	GENOMAD.224170.VP	0.0004032	44	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_149	168618	168905	288	-1	0.219	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_150	169099	169959	861	-1	0.272	11	AGGAG	GENOMAD.151855.PC	9.318e-10	62	0	0	0	1	NA	NA	NA	PF08667;K20375;TIGR01716;COG3620	transcriptional activator, Rgg/GadR/MutR family, C-terminal domain
CP133956.1_151	170234	171373	1140	-1	0.388	11	GGAG/GAGG	GENOMAD.111131.VV	7.217e-08	57	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
CP133956.1_152	171501	171767	267	-1	0.348	11	AGGAG	GENOMAD.154436.VV	5.721e-43	151	0	0	0	2561	Caudoviricetes	NA	NA	PF13783	NA
CP133956.1_153	171779	172165	387	-1	0.307	11	GGA/GAG/AGG	GENOMAD.021015.VV	6.082e-29	113	0	0	0	2561	Caudoviricetes	NA	NA	PF20573;COG2856	Putative metallopeptidase family (DUF6782)
CP133956.1_154	172168	172518	351	-1	0.353	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_155	172814	173059	246	1	0.341	11	AGGAG	GENOMAD.124236.VV	1.111e-40	144	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
CP133956.1_156	173010	173798	789	-1	0.347	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_157	173849	174040	192	1	0.401	11	AGGAG	GENOMAD.057124.VV	3.086e-22	90	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
CP133956.1_158	174122	174433	312	1	0.381	11	GGAGG	GENOMAD.050216.VV	2.606e-58	196	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
CP133956.1_159	174435	174605	171	1	0.322	11	AGGAG	GENOMAD.105558.VV	2.791e-27	104	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
CP133956.1_160	174598	174801	204	1	0.358	11	AGGA/GGAG/GAGG	GENOMAD.163272.VV	1.034e-34	126	0	0	0	1	NA	NA	NA	COG2137	NA
