#This annotation file adds bars which indicate the length of the viral genome.

DATASET_SIMPLEBAR

SEPARATOR TAB

DATASET_LABEL	Genome Length (KB)
OR354847	39.861
OR354846	41.915
OR354845	41.909
OR354844	41.919
OR354843	41.909
OR354842	41.91
OR354841	41.912
OR354840	88.353
OR354839	88.218
OR354838	87.821
OR354837	88.215
OR354836	104.603
OR354835	93.364
OR354834	93.92
OR354833	89.461
OR354832	89.83
OR354831	89.197
OR354830	88.801
OR354829	88.872
OR354828	88.773
OR354827	88.814
OR354826	89.035
OR354825	88.904
OR354824	88.855
OR354823	148.281
OR354822	148.292
OR354821	146.384
OR354820	146.115
OQ689084	43.428
OQ689083	50.36
OQ718882	46.039
ON524870	88.096
ON524869	88.446
ON524868	88.394
ON524867	87.753
ON524866	87.771
ON524865	88.115
ON524864	87.823
ON524863	87.887
ON524862	87.887
ON524861	87.852
OR526523	44.824
OR670591	51.392
BK063464	36.623
OQ079412	15.671
OQ079410	36.464
OP810509	37.096
OL778852	3.805
OP594723	107.11
OP380607	37.561
OP380606	174.828
OP380605	173.642
OP380604	231.19
OP380603	171.254
OP380602	173.776
OP380601	233.966
OP380600	169.996
OP380599	190.365
OP380598	169.48
OP380597	167.753
OP380596	163.153
OP380595	159.712
OP380594	169.988
CP111102	61.663
OR544125	45.68
OR496884	243.674
OR683508	57.758
OR729839	42.956
OR651770	42.372
OR767160	50.596
OR757436	75.827
OR757435	76.591
OR757434	77.671
OR513906	139.97
OR513905	141.029
OR513904	139.526
OR513903	139.712
OR805297	59.205
OR805296	65.668
OR805295	287.267
OR805294	287.74
OR805293	288.357
OR805292	288.167
OR805291	61.687
OR352959	45.321
OR352958	68.483
OR352957	53.045
OR352956	149.254
OR352955	152.808
OR352954	144.944
OR352953	146.801
OR352952	167.386
OR352951	169.463
OR352950	169.342
OR352949	169.342
OR352948	169.872
OR352947	168.89
OR352946	167.816
OR352945	167.064
OR352944	168.522
OR352943	167.942
OR352942	167.943
OR352941	172.602
OR352940	170.007
OR352939	168.548
OR352938	166.043
OR352937	50.922
OR352936	49.722
OR352935	43.102
OR352934	39.735
OR352933	43.345
OR786310	149.88
OR699283	60.307
OR699282	503.152
OR544956	130.723
OR544955	156.698
OR544954	163.906
OR424386	50.475
OR424385	44.488
OR424384	44.563
OQ953986	41.138
OR699188	326.338
OR699187	57.72
OR699186	57.647
OR699185	57.698
OR699184	58.245
OR699183	310.643
OR699182	319.47
OR699181	321.761
OR757454	154.724
OR757453	169.215
OR464144	113.775
OR464143	113.775
OR464142	39.926
OR464141	39.886
OR464140	155.946
OR464139	39.849
OR539221	165.962
OR539220	166.966
OR539219	168.887
OR539218	168.222
OR539217	167.01
OR539216	41.822
OR242317	159.063
OR242316	42.022
OR242315	42.1
OR242314	42.1
OR242313	111.611
OQ828465	278.577
OQ828464	45.672
OQ828463	65.283
OQ828462	44.398
OR513095	113.775
OR513094	39.849
OR513093	39.849
OR498733	39.831
OR498732	60.202
OR498731	39.848
OR485019	39.833
OR485018	111.769
OR485017	39.912
OR290783	39.966
OR290782	39.857
OR290781	39.849
OR786374	37.851
OR786373	39.025
OR786095	39.989
OR786094	49.19
OR769032	169.193
OR769031	39.283
OR668231	56.771
OR668230	55.793
OR668229	54.946
OR791114	57.699
OR762784	34.637
OR820920	37.161
OR645408	37.356
OR756449	171.022
OR726634	42.896
OR666137	165.027
OR644643	176.005
OR500437	93.233
OR767211	40.434
OR529409	252.19
OR529408	109.117
OR188767	40.256
OR188766	30.552
OR354876	162.087
OR354875	166.582
OR354874	165.875
OR756193	44.198
OR495701	140.322
OR495700	141.841
OR495699	142.581
OR287812	40.386
OR639934	43.271
OR287811	39.058
OR287810	44.575
OR287809	44.281
OR287808	44.083
OR287807	42.38
OR287806	40.593
OR287805	38.946
OR287804	39.235
OR508996	58.539
OP374082	46.173
OP374081	17.198
OR122686	41.337
OR723929	110.776
OR733342	43.14
OR776998	154.89
OR684907	40.222
OR770614	273.701
OR780565	167.751
OR734989	48.971
OR730450	45.72
OR689712	43.757
OQ953987	40.108
OQ953985	41.212
OR795024	52.614
OR662133	76.437
OR509663	39.569
OR509662	40.059
OR762182	25.29
OR725497	114.564
OR725496	50.877
OR725495	50.849
OR725494	50.908
OR725493	131.347
OR725492	115.924
OR725491	50.965
OR725490	67.237
OR725489	45.754
OR813930	115.224
OR791786	6.408
OR797478	41.189
OR780021	38.582
LC788711	108.459
LC788710	111.049
LC788709	112.034
LC788708	102.235
LC788707	104.075
LC788706	109.808
LC788705	101.95
LC788704	140.703
LC788703	138.183
OR791690	55.571
OR733708	65.888
OR733707	66.169
OR733709	65.909
OR770645	41.242
OR770644	40.889
OR754315	39.909
OR754314	36.212
OR754313	36.276
OR725122	156.84
OR687644	35.28
OR611155	142.271
OR683639	17.369
OR762047	36.626
OR670592	55.275
MT360680	43.925
MZ570582	40.357
OR799564	39.758
OQ921331	42.514
OR113390	56.275
OR113389	55.581
OR113388	59.998
OR660046	40.181
OP940114	141.746
OR687155	57.462
OR142618	286.854
MG999954	172.614
OR420755	39.709
OR420754	39.685
OR420752	40.567
OR420751	40.533
OR420750	39.084
OR420748	42.634
OR420747	39.091
OR420746	39.373
OR420745	42.803
OR420744	42.828
OR420743	38.917
OR420742	39.972
OR420740	40.413
OR420739	39.8
OR420738	40.879
OR420737	39.796
OR420736	40.549
OR420735	39.787
OR420734	41.62
OQ784832	14.787
OQ357865	17.449
LC785692	156.598
OR636717	35.376
OR575930	95.072
OR575929	151.256
OR565852	44.932
OR565851	36.753
OR387547	40.632
OR387546	158.784
OR344854	39.926
OR344853	39.956
OQ921102	39.32
OQ921101	38.171
OQ863045	32.751
OQ863044	34.258
OR545059	31.809
OR545058	31.809
OR545057	33.354
OR545056	33.699
OR545055	49.037
OR545054	49.128
OR545053	49.027
OR672055	58.706
OR621298	118.119
OR611941	66.514
OR420688	123.145
OR426634	113.53
OR396896	47.46
OR238910	43.245
OR602703	141.344
OR602702	141.988
OR602701	16.364
OR526489	60.85
OR526488	59.226
OR526487	41.383
OR677401	171.908
OR474059	48.892
OR576727	169.621
OP820702	42.388
OP820701	115.503
OP820700	115.56
OP627531	92.892
OY757062	43.831
OY757061	40.906
OR538763	45.373
OR538762	66.308
OR538761	61.81
OY757094	52.798
OY757093	49.869
OY757092	44.457
OY757091	48.557
OY757090	41.521
OY757089	49.618
OY757088	42.982
OY757087	41.521
OY757067	145.314
OY757066	47.512
OY757065	44.107
OY757064	53.24
OY757063	43.207
OX639564	6.557
OR553911	40.333
OR573959	17.593
MZ573780	147.811
OQ818709	85.232
OQ818708	44.966
OQ818707	84.356
OQ818706	84.539
OQ818705	74.269
OQ818704	54.761
OQ818703	84.622
OQ818702	53.582
OQ818701	54.212
OQ818700	53.843
OQ818699	54.19
OQ818698	54.213
OQ818697	53.82
OQ818696	54.556
OQ818695	53.494
OQ818694	53.903
MT813197	39.436
OR578708	30.482
OR578707	45.803
OR578706	162.978
OR506460	58.683
OR637327	177.603
OR637326	178.179
OR538032	244.027
OR620964	248.678
OR620963	92.502
OR670491	355.583
OR472329	121.779
OQ851348	43.615
OP534061	138.084
OR604635	42.609
OR700190	48.383
OR589135	58.217
OP548052	44.424
OQ992558	166.167
OR529306	33.766
OK665488	73.308
MN101226	122.724
OR567511	172.888
CP072507	54.929
OP562166	76.147
OL436246	138.868
OL436245	144.254
OR493421	252.505
OR283216	66.998
OR283215	17.362
OR283214	17.362
OR283213	17.362
OR283212	17.448
OR283211	17.445
OR283210	17.438
OR283209	17.448
OR283208	17.364
OR283207	17.362
OR283206	59.932
OQ756160	61.032
OK539833	87.273
OK539832	157.917
LC779065	145.093
OR577172	61.282
OR481007	45.416
MZ171369	37.078
OR260090	44.641
OR260089	61.99
OR228460	277.803
OR228459	360.105
OR234010	38.916
OR234009	39.15
OR591532	45.854
OR578534	40.456
OR545379	39.368
OR509539	72.635
OR498728	89.258
OR474483	42.829
MZ911962	57.025
OR413586	51.694
OR413585	239.099
OR413584	107.599
OR413583	147.005
OR413582	39.53
OR413581	240.593
OR413580	53.075
OR413579	39.459
OR413578	240.348
OR413577	53.144
OR413576	52.451
OR413575	210.197
OR180314	49.786
OR180313	50.353
OR180312	50.304
OR180310	44.699
OR180309	44.58
OR180308	44.58
OR180307	98.154
OR180306	44.862
OR613483	156.193
OR613482	156.308
OR613481	41.805
OR613480	55.22
OR613479	15.972
OR613478	63.076
OR613477	15.297
OR613476	41.797
OR613475	61.926
OR613474	56.687
OR613473	54.88
OR613472	41.53
OR613471	155.851
OR613470	20.207
OR613469	59.136
OR613468	41.785
OR613467	48.999
OR613466	62.344
OR428172	60.735
OR402836	7.02
OQ992562	280.316
OQ992561	278.927
OQ992560	66.107
OQ992559	71.977
OQ992557	61.365
OQ992556	65.863
OQ992555	65.864
OQ992554	91.698
OQ992553	61.543
OQ992552	65.845
OQ992551	45.509
OR555718	48.244
OQ745668	43.873
BK062760	8.828
OQ817837	33.215
OQ817842	50.543
OQ817832	58.03
OQ817833	46.435
OQ817834	46.012
OQ817835	43.305
OQ817836	46.215
OQ817838	46.086
OQ817839	46.478
OQ817840	45.982
OQ817841	45.029
OQ817843	46.478
OQ817844	45.648
OQ859057	36.48
OQ859056	36.48
OQ859055	36.48
OQ859054	36.282
OQ859053	36.282
OQ859052	36.282
OQ859051	36.282
OQ859050	36.282
OQ859049	36.282
OQ859048	36.282
OQ859047	36.282
OQ859046	36.282
OQ859045	36.282
OQ859044	36.282
OQ859043	36.678
OR466728	48.315
OR502445	157.089
OR492660	49.46
OQ884031	44.601
OQ884030	151.475
OQ884029	41.198
OQ884028	44.357
OQ884027	65.696
OQ884026	42.833
OR584314	40.865
OR387886	40.301
OR548257	56.324
OR521088	41.206
OR521087	71.141
OR521086	73.415
OR521085	80.277
OR521084	41.522
OR521083	80.037
OR521082	76.74
OR521081	59.182
OR521080	67.767
OR521079	41.81
OR521078	54.512
OR521077	15.297
OR521076	60.613
OR521075	59.302
OR521074	56.41
OR521073	41.099
OR521072	17.363
OR521071	67.607
OR521070	155.718
OR521069	68.701
OR521068	52.332
OR521067	16.228
OR521066	45.575
OR521065	54.333
OR521064	42.226
OR521063	69.888
OR521062	67.607
OR521061	73.415
OR521060	43.653
OR521059	63.246
OR521058	48.06
OR521057	45.871
OR472545	50.636
OR188720	38.82
OR188719	41.628
OR188718	42.384
OR352819	39.926
OR400517	113.852
OR360270	41.704
OR348818	42.509
OR360541	52.138
OR553916	80.038
OR553915	47.205
OR553914	39.807
OR553913	48.792
OR553912	50.867
OR553910	45.985
OR553909	81.156
OR553908	133.671
OR553907	68.848
OR553906	39.403
OR553905	133.228
OR553904	75.27
OR553903	128.873
OR553902	55.075
OR553901	51.055
OR553900	61.253
OR553899	50.857
OR553898	16.966
OR553897	48.336
OR553896	62.291
OR553895	44.379
OR553894	50.905
OR553893	40.386
OR553892	64.625
OR553891	41.205
OR263580	61.068
MK524501	91.51
BK063680	83.07
BK063679	34.179
BK063678	51.14
BK063677	53.2
BK063676	37.696
BK063675	18.828
BK063674	19.532
BK063673	60.09
BK063672	36.516
BK063671	43.78
BK063670	44.208
BK063669	38.543
BK063668	50.465
BK063667	34.643
BK063666	38.837
OR487170	38.099
OR545507	350.079
OR513085	218.539
OP918669	43.59
OL906435	65.014
ON073792	42.586
OR253920	51.372
OR253919	62.371
OR253918	45.601
OR253917	60.301
OR253916	81.421
OR253915	61.378
OR253914	40.509
OR253913	46.162
OR253912	61.072
OR253911	132.301
OR253910	57.325
OR253909	54.452
OR253908	55.074
OR253907	39.758
OR253906	48.046
OR253905	51.176
OR253904	55.792
OR253903	59.283
OR253902	75.915
OR253901	131.322
OR253900	60.109
OR253899	132.3
OR253898	53.924
OR253897	59.514
OR253896	131.421
OR195050	17.445
OR195049	38.728
OR195048	110.129
OR195047	59.847
OR195046	61.183
OR195045	51.408
OR195044	42.742
OR195043	52.231
OR105946	50.164
OR105945	40.825
OR449012	156.284
OR449013	140.513
OR434028	68.992
OR434027	67.084
OR434026	67.424
OR434025	52.539
OR434024	67.386
OR434023	60.295
OR434022	38.571
OR434021	68.5
OR434020	66.539
OR434019	68.719
OR434018	55.989
OR475294	61.665
OR475293	68.266
OR475292	17.36
OR475291	57.509
OR475290	155.173
OR475289	58.274
OR475288	61.418
OR475287	56.276
OR475286	50.796
OR475285	52.229
OR475284	39.758
OR475283	41.813
OR475282	50.222
OR475281	17.361
OR475280	53.161
OR475279	38.522
OR475278	42.907
OR475277	60.455
OR475276	67.447
OR475275	41.534
OR475274	49.985
OR475273	66.957
OR475272	89.615
OR475271	68.301
OR475270	50.985
OR475269	51.53
OR475268	52.468
OR475267	68.202
OR475266	58.855
OR475265	93.062
OR475264	17.445
OR475263	63.339
OR475262	67.021
OR475261	67.633
OR475260	68.551
OR475259	68.297
OR475258	37.766
OR475257	57.936
OR475256	61.968
OR475255	39.364
OR475254	65.525
OR475253	52.2
OR475252	54.395
OR475251	71.342
OR475250	67.419
OR475249	56.721
OR475248	154.543
OR475247	53.674
OR475246	69.178
OR475245	68.343
OR261032	90.646
OR261031	42.593
OR515479	153.986
OR515478	182.881
OR515477	107.569
OR420333	43.064
OR473000	174.876
OR500351	44.044
OR257569	149.362
OR338916	49.867
OR339795	89.24
OR296290	74.752
OR157981	42.649
OQ326580	66.42
OR148986	57.798
OQ587941	71.319
OQ587940	73.707
OQ587939	73.709
OR290821	40.222
OQ696342	44.581
MN106244	57.805
OR576728	56.976
OR387861	35.679
OR246918	51.384
OQ319934	44.725
OQ319933	90.869
OQ319932	65.78
OP880301	33.804
OR436899	65.772
OQ831730	65.597
OQ831729	66.591
OR284297	84.405
LC776701	44.614
OR260414	48.466
OR258281	348.967
OR230584	43.331
OR125588	133.639
OR125587	134.199
OR125586	133.868
OR125585	136.92
OR125584	136.461
OR125583	136.076
OR125582	135.569
OR193800	44.847
OR167181	165.508
OR167180	165.509
OR167179	163.664
OR167178	163.666
OR208547	64.467
OR237565	41.113
OR237564	39.964
OR237563	40.454
OR199844	32.739
OR199843	33.593
OQ830459	52.407
OR159655	68.7
OR256027	40.51
OR256026	39.781
OR256025	48.629
OR256024	48.439
OR256023	176.804
OR256022	85.539
OR256021	174.539
OR256020	50.654
LC779550	40.645
LC779549	41.625
OQ921333	39.287
OQ921332	79.199
OQ828306	40.118
OQ828305	38.761
OR359403	67.276
OR234023	174.94
OR237807	72.098
OR296322	39.477
OR255951	66.147
OP626800	56.717
OP795451	43.182
OY731444	71.478
OY731433	71.258
OY731397	30.534
OY725698	34.083
OY725688	42.841
OY725646	41.935
OY725644	41.304
OY725605	39.922
OY725603	43.637
OY725595	41.953
OY725593	71.431
OY725592	42.83
OY725572	44.863
OY725544	43.143
OY725315	34.498
OY720021	166.664
OQ845958	170.441
OQ845957	86.222
OR238371	43.429
OR492254	110.767
OR397124	130.03
OR397123	38.059
OR492646	5.534
OR178992	29.467
OR438930	36.825
OR438929	36.826
OR438928	36.825
OR327749	137.424
OR192075	163.664
OR413346	113.332
OR413343	113.332
OR192057	38.668
OR148037	55.326
OR148036	55.145
OR148035	49.474
OR148034	55.552
ON470615	95.305
OR067381	16.449
ON453905	35.44
ON453904	42.124
ON453903	37.125
ON453902	37.533
ON453901	47.242
ON453900	57.045
ON453899	77.323
ON453898	46.066
ON453897	58.097
ON453896	31.347
ON453895	36.894
ON453894	30.677
ON453893	39.241
LC778449	42.442
MT675126	60.728
MT675125	60.924
MT675124	60.727
OQ858591	41.158
ON470617	99.607
OQ743992	88.675
OQ190480	133.012
OP751152	39.792
MW495066	273.876
LC778250	57.397
LC778249	225.84
OR472559	46.021
OR327751	53.268
OR327750	167.69
OR327748	38.29
OR204652	40.444
OR204651	39.837
OR204650	39.65
OR204649	76.884
OR413347	110.344
OR413345	108.554
OR413344	115.218
OR413342	109.346
MN923124	49.692
OQ451773	41.886
ON212266	153.282
MZ892903	170.727
OQ871557	86.621
OQ871556	85.758
OQ871555	86.621
OQ995441	50.932
OQ995440	74.9
OQ995439	48.907
OQ995438	56.477
OQ995437	43.596
OQ995436	154.789
OQ995435	41.922
OQ995434	42.046
OQ995433	17.041
OQ995432	62.874
OQ995431	130.302
OQ995430	129.554
OQ995429	49.042
OQ995428	81.754
OQ995427	57.187
OQ995426	58.367
OQ995425	43.268
OR290970	59.343
ON528935	38.634
OQ745667	34.257
OP297541	71.351
AY129330	59.472
OP985602	53.125
OP985601	58.438
OP985600	49.798
OP820471	51.37
OP820468	58.738
OP820467	50.456
OP820463	52.762
OP820461	62.113
OP910133	53.274
OP910132	61.155
OP910130	51.264
OP751154	46.511
OP751148	57.163
OP867027	54.8
OP867026	59.454
OP867025	64.741
OP867023	41.55
OP867021	42.691
OP867019	73.179
OP434463	53.419
OP434461	61.187
OP434460	53.52
OP434458	55.452
OP434456	57.573
OP434454	46.673
OP434451	57.99
OP434462	57.354
OP434447	50.45
OP434442	52.737
OP434440	50.361
OP580517	55.828
ON970627	50.443
OP297553	52.781
OP297550	38.821
OP297549	52.616
OP297544	44.528
OP297543	53.222
OP297552	39.179
OP297540	43.107
OP297537	52.659
OP297535	86.776
OP297532	51.47
OP297529	51.398
OP172877	59.473
OP172876	68.847
OP172875	41.261
OP172874	64.904
OP172873	63.924
OP172870	67.688
OP172868	67.279
OP172867	47.087
ON970626	51.19
ON970625	51.199
ON970624	53.857
ON970623	47.074
ON970622	60.144
ON970616	43.877
ON970615	74.943
ON970614	51.41
ON970612	53.194
ON970610	54.926
ON970609	47.19
ON970604	39.051
ON970602	58.458
ON970601	49.645
ON970591	133.582
ON970590	134.078
ON970587	67.046
ON970586	52.386
ON970579	132.667
ON970578	86.218
ON970574	46.484
ON970572	60.305
ON970570	39.941
ON970565	51.662
ON970563	52.95
OP068342	58.888
OP068340	58.771
OP068339	39.866
OP068338	52.992
ON724016	52.923
ON724014	58.677
ON724012	49.604
ON755189	156.129
ON755186	59.154
ON755185	65.574
ON755181	75.593
OP021684	155.66
OP021683	41.847
OP021682	155.28
OP021681	157.537
OP021679	52.861
OP021677	52.47
ON645342	57.973
ON645340	62.277
ON645339	130.327
ON645338	58.217
ON456349	56.333
ON456348	54.732
ON456355	47.575
ON456345	76.092
ON456343	129.455
ON456342	69.028
ON456340	57.758
ON456338	54.082
ON456337	60.152
ON456336	58.248
ON456335	58.242
ON456334	55.657
ON456333	68.128
ON337196	50.089
ON337194	41.551
ON526984	59.449
ON526982	153.46
ON526981	55.093
ON526972	41.028
ON526971	60.111
ON526969	61.868
ON677304	51.164
ON208830	128.076
ON208829	53.263
ON637770	192.363
ON637771	51.375
ON637764	156.008
ON637761	57.123
ON637760	47.578
ON260823	41.551
ON260827	63.925
ON260824	154.848
ON260822	38.648
ON260820	53.25
ON260816	59.905
ON260815	53.25
ON260813	63.202
ON392167	70.412
ON392161	17.396
ON392159	59.861
ON081336	43.562
ON081335	157.677
ON081332	59.685
ON081330	53.396
OM913585	51.687
ON108650	132.303
ON108646	55.469
ON108644	61.62
ON108640	51.338
OM818328	52.206
OL829978	134.464
OL829977	45.278
OL742561	42.938
OL742560	49.978
OL455900	40.447
OL455899	76.52
OL455898	51.324
OL455895	68.501
OL455893	70.299
OL455890	67.754
OL455889	51.174
OL455887	68.241
OM105885	56.056
OM105884	51.344
OM203162	52.231
OM203161	53.516
OM203159	52.722
OM203158	53.048
OL549190	51.268
OK310505	59.907
OK310503	57.652
OK310502	131.879
OK999980	50.397
OK999979	40.567
OK999978	50.841
MZ958748	113.075
MZ958747	61.147
MZ958745	153.184
OK040793	192.73
OK040791	53.727
OK040790	186.095
OK040789	156.009
OK040786	76.731
OK040784	59.905
OK040782	60.62
OK040779	47.463
OK040778	60.618
OK318960	68.198
OK318959	50.884
OK318958	41.958
OK318957	56.694
MZ747522	50.075
MZ747521	51.97
MZ747520	57.846
MZ747519	57.595
MZ747517	52.626
MZ747514	49.799
MZ747513	41.51
MZ747509	51.333
MZ681518	50.916
MZ681516	52.566
MZ681511	155.812
MZ681510	57.691
MZ681508	52.178
MZ681505	75.998
MZ856343	154.315
MZ820095	130.557
MZ820094	127.753
MZ820093	128.513
MZ820090	53.198
MZ820086	43.835
MZ820085	158.235
MZ622183	69.48
MZ622182	39.952
MZ622181	53.746
MZ622179	53.154
MZ622177	58.559
MZ622176	51.468
MZ622173	68.447
MZ622171	53.305
MZ622168	61.137
MZ622162	43.642
MZ622159	49.89
MZ622158	76.192
MZ648035	52.659
MZ648034	52.817
MZ171381	68.886
MZ171380	51.317
MZ171376	50.006
MZ171375	68.093
MZ171374	52.698
MZ171373	76.652
MZ388555	58.194
MZ388553	53.863
MZ388552	92.405
MZ388551	155.626
MZ274306	59.381
MZ274305	75.933
MZ456036	67.439
MZ456035	63.952
MZ456034	52.702
MZ005685	52.154
MZ005679	76.685
MZ005673	51.608
MZ209307	56.809
MZ209305	52.519
MZ209300	57.866
MZ322026	53.255
MZ322025	51.057
MZ322023	51.277
MZ322021	87.157
MZ322020	61.476
MZ322019	52.76
MZ322017	50.926
MZ322015	58.988
MZ322013	45.241
MZ322012	41.003
MZ322009	59.258
MZ322007	52.469
MZ322005	51.427
MZ322004	51.349
AF022214	49.127
MZ150792	53.205
MZ150788	46.684
MZ150785	51.552
MW862992	65.232
MW862990	59.905
MW862989	57.051
MW862985	59.708
MW862984	60.432
MW862983	54.459
MW862982	49.221
MW862981	50.154
MW862979	59.711
MW712735	65.823
MW712734	59.905
MW712733	59.905
MW712732	52.607
MW712731	67.468
MW712730	59.132
MW712729	155.947
MW712725	55.873
MW712723	59.905
MW712722	59.711
MW712719	50.433
MW712718	49.605
MW712717	52.698
MW822149	73.949
MW822148	156.127
MW822146	59.571
MW822145	130.929
MW822143	52.493
MZ355728	53.239
MZ355726	49.064
MZ355725	51.37
MZ355724	64.175
MZ355723	49.899
MZ355722	52.078
MZ028627	84.56
MZ028625	52.969
MW924650	50.906
MW924648	50.338
MW924647	41.814
MW924645	59.075
MW924644	68.705
MW924643	53.311
MW924640	41.665
MW601225	50.992
MW601224	40.883
MW601223	49.392
MW601221	41.557
MW601220	68.896
MW601217	53.312
MW601216	52.704
MW578837	53.614
MW578836	82.676
MW578835	76.366
MW507134	130.734
MW507131	38.596
MW507128	50.876
MW507123	49.04
MW435858	51.735
MW435856	51.566
MW435855	72.623
MW435853	128.152
MW365953	51.582
MW365952	128.959
MW132714	109.901
MW132713	43.366
MW055915	54.468
MW055904	52.593
MW055902	47.149
MW314850	59.21
MW314849	55.006
MW314847	61.476
MW291027	45.614
MW291024	75.782
MW291023	76.859
MW291022	59.457
MW291021	186.386
MW291019	51.808
MW291017	93.606
MW291014	130.258
MW291012	156.08
MT986028	59.15
MT889398	53.826
MT889397	58.617
MT889396	58.618
MT889395	154.859
MT889394	68.939
MT889391	70.064
MT889390	51.374
MT889388	50.783
MT889386	51.412
MT889384	52.265
MT889383	75.793
MT889382	51.407
MT889380	57.693
MT889374	58.166
MT889373	38.594
MT889370	75.807
MT952853	39.404
MT952852	129.935
MT952851	69.13
MT952849	68.621
MT952847	50.977
MT952844	54.546
MT952843	56.53
MT818426	59.253
MT818423	156.653
MT818417	51.378
MT818416	153.731
MT818415	53.276
MT771350	41.813
MT771349	74.429
MT771340	53.771
MT897907	50.957
MT897906	40.873
MT897904	57.356
MT684601	55.471
MT684599	76.058
MT684598	130.666
MT684597	55.413
MT684596	44.859
MT684595	57.599
MT684593	57.984
MT684588	41.278
MT684586	54.974
MT657342	51.468
MT657341	83.601
MT657339	94.031
MT657338	52.086
MT657337	54.839
MT657336	52.987
MT657331	50.577
MT776812	52.935
MT776811	50.346
MT723945	156.354
MT723944	154.973
MT723941	57.43
MT723940	61.945
MT723939	51.372
MT723937	58.176
MT723934	60.042
MT723932	43.7
MT658805	76.821
MT658804	52.965
MT658803	82.356
MT658802	83.412
MT639654	53.215
MT639652	67.361
MT639645	52.698
MT639644	51.854
MT639640	60.127
MT522007	52.314
MT522005	76.169
MT522004	53.702
MT522002	47.881
MT522001	56.428
MT522000	54.814
MT521999	53.521
MT521997	45.732
MT521994	59.797
MT521993	135.372
MT521992	142.586
MT498066	53.399
MT498061	46.561
MT498060	53.348
MT498058	57.664
MT498056	51.383
MT498055	49.5
MT498054	93.34
MT498048	42.382
MT498044	41.278
MT498042	40.58
MT498041	53.946
MT498036	58.928
MT498035	59.501
MT490373	51.424
MT553347	57.054
MT553346	51.373
MT553345	55.149
MT553344	44.904
MT553341	41.803
MT553339	41.798
MT553338	51.379
MT553337	53.254
MT553336	48.746
MT553335	154.852
MT451985	41.809
MT310898	185.323
MT310897	51.04
MT310896	41.448
MT310895	51.319
MT310894	62.869
MT310893	58.368
MT310886	51.037
MT310885	51.141
MT310884	51.141
MT310883	49.127
MT310881	45.969
MT310880	45.969
MT310879	47.895
MT310878	46.535
MT310877	52.608
MT310876	51.141
MT310874	59.188
MT310872	58.46
MT310871	68.546
MT310865	132.885
MT310863	50.643
MT310862	50.426
MT310860	62.067
MT310858	53.261
MT310857	52.651
MT310853	41.522
MT310850	57.731
MT114167	59.699
MT114166	62.393
MT114165	75.679
MT114164	56.147
MT114163	145.208
MT114162	129.37
MT114161	50.789
MT114158	51.393
MT024872	127.551
MT024868	46.623
MT024866	48.399
MT024865	126.614
MT024861	52.576
MT024860	41.594
MN945902	46.617
MN945901	61.027
MN945900	60.222
MN908694	61.88
MN908693	61.856
MN908691	92.498
MN908688	56.391
MN908687	152.435
MN908685	191.968
MN908683	47.915
MN892487	52.577
MN892486	48.916
MN892484	48.222
MN735434	156.17
MN735433	56.825
MN735432	42.393
MN735431	57.346
MN807250	48.222
MN807249	48.783
MN807248	48.213
