intronID,hit,target_name,accession,query_name,accession_2,mdl,mdl_from,mdl_to,seq_from,seq_to,strand,trunc,pass,gc,bias,score,E-value,inc,description_of_target,start,end,length,Description,Classification,Genome Length (bp),Jumbophage,molGC (%),Molecule,Modification Date,Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),Low Coding Capacity Warning,tRNAs,Host,Lowest Taxa,Genus,Sub-family,Family,Order,Class,Phylum,Kingdom,Realm,Baltimore Group,Genbank Division,Isolation Host (beware inconsistent and nonsense values)
MW749003_I_129483,2639,MW749003,-,IA2,-,cm,1,251,129483,129128,-,no,1,0.37,9.2,79.5,1.1e-16,!,"Bacillus phage vB_BspM_Internexus, complete genome.",129128,129483,355,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_158106,1905,MW749003,-,IA2,-,cm,1,251,158106,158421,+,no,1,0.39,1.2,98.6,4.500000000000001e-22,!,"Bacillus phage vB_BspM_Internexus, complete genome.",158106,158421,315,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_159871,2744,MW749003,-,IA2,-,cm,1,251,159871,160219,+,no,1,0.37,6.4,75.2,1.8e-15,!,"Bacillus phage vB_BspM_Internexus, complete genome.",159871,160219,348,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_168017,12515,MW749003,-,IC1,-,cm,98,210,168017,168109,+,no,1,0.33,0.0,28.2,0.0002,!,"Bacillus phage vB_BspM_Internexus, complete genome.",168017,168109,92,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_174585,11294,MW749003,-,IC1,-,cm,98,259,174585,174733,+,no,1,0.31,1.6,70.5,1.1e-18,!,"Bacillus phage vB_BspM_Internexus, complete genome.",174585,174733,148,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_219537,1473,MW749003,-,IA2,-,cm,1,251,219537,219848,+,no,1,0.38,0.8,112.9,4.2e-26,!,"Bacillus phage vB_BspM_Internexus, complete genome.",219537,219848,311,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_230905,12611,MW749003,-,IC1,-,cm,98,210,230905,230996,+,no,1,0.4,0.0,24.8,0.0028,!,"Bacillus phage vB_BspM_Internexus, complete genome.",230905,230996,91,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_235776,12472,MW749003,-,IC1,-,cm,98,210,235776,235868,+,no,1,0.39,0.0,29.8,5.9e-05,!,"Bacillus phage vB_BspM_Internexus, complete genome.",235776,235868,92,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_246903,1955,MW749003,-,IA2,-,cm,1,251,246903,246541,-,no,1,0.37,5.1,97.8,7.500000000000001e-22,!,"Bacillus phage vB_BspM_Internexus, complete genome.",246541,246903,362,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MZ422438_I_101121,5176,MZ422438,-,IA2,-,cm,1,251,101121,101305,+,no,1,0.3,8.8,31.0,0.0052,!,"Listeria phage LPJP1, complete genome.",101121,101305,184,Listeria phage LPJP1,Listeria phage LPJP1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,223580,True,25.923,DNA,24-SEP-2021,229,24.4541484716157,75.5458515283843,87.4881474192683,,4,Listeria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Listeria grayi
MZ422438_I_118891,9334,MZ422438,-,IB4,-,cm,1,250,118891,119117,+,no,1,0.32,7.2,71.6,2.9e-13,!,"Listeria phage LPJP1, complete genome.",118891,119117,226,Listeria phage LPJP1,Listeria phage LPJP1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,223580,True,25.923,DNA,24-SEP-2021,229,24.4541484716157,75.5458515283843,87.4881474192683,,4,Listeria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Listeria grayi
MZ422438_I_159313,3640,MZ422438,-,IA2,-,cm,1,251,159313,159071,-,no,1,0.29,22.4,54.0,1.7e-09,!,"Listeria phage LPJP1, complete genome.",159071,159313,242,Listeria phage LPJP1,Listeria phage LPJP1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,223580,True,25.923,DNA,24-SEP-2021,229,24.4541484716157,75.5458515283843,87.4881474192683,,4,Listeria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Listeria grayi
MZ422438_I_223204,12534,MZ422438,-,IC1,-,cm,95,261,223204,222972,-,no,1,0.39,0.2,27.2,0.00042,!,"Listeria phage LPJP1, complete genome.",222972,223204,232,Listeria phage LPJP1,Listeria phage LPJP1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,223580,True,25.923,DNA,24-SEP-2021,229,24.4541484716157,75.5458515283843,87.4881474192683,,4,Listeria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Listeria grayi
NC_007581_I_103173,2841,NC_007581,-,IA2,-,cm,1,251,103173,102944,-,no,1,0.37,4.8,72.6,9.6e-15,!,"Clostridium phage c-st, complete genome.",102944,103173,229,Clostridium phage c-st,Clostridium phage c-st Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,185683,False,26.284,DNA,07-JAN-2023,199,52.7638190954774,47.2361809045226,83.7680347689342,,0,Clostridium,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Clostridium botulinum type C strain C-Stockholm
NC_007581_I_128424,3592,NC_007581,-,IA2,-,cm,1,251,128424,128169,-,no,1,0.38,1.0,56.1,4.3e-10,!,"Clostridium phage c-st, complete genome.",128169,128424,255,Clostridium phage c-st,Clostridium phage c-st Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,185683,False,26.284,DNA,07-JAN-2023,199,52.7638190954774,47.2361809045226,83.7680347689342,,0,Clostridium,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Clostridium botulinum type C strain C-Stockholm
NC_007581_I_165865,9952,NC_007581,-,IB4,-,cm,1,250,165865,165551,-,no,1,0.34,14.4,52.8,3.2e-08,!,"Clostridium phage c-st, complete genome.",165551,165865,314,Clostridium phage c-st,Clostridium phage c-st Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,185683,False,26.284,DNA,07-JAN-2023,199,52.7638190954774,47.2361809045226,83.7680347689342,,0,Clostridium,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Clostridium botulinum type C strain C-Stockholm
NC_031039_I_63708,1472,NC_031039,-,IA2,-,cm,1,251,63708,64019,+,no,1,0.38,0.8,112.9,4.2e-26,!,"Bacillus phage AR9, complete genome.",63708,64019,311,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_031039_I_89435,1980,NC_031039,-,IA2,-,cm,1,251,89435,89071,-,no,1,0.37,4.9,97.5,9.200000000000001e-22,!,"Bacillus phage AR9, complete genome.",89071,89435,364,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_031039_I_95713,1173,NC_031039,-,IA2,-,cm,1,251,95713,96034,+,no,1,0.36,6.5,129.2,1.1000000000000001e-30,!,"Bacillus phage AR9, complete genome.",95713,96034,321,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_031039_I_96472,1234,NC_031039,-,IA2,-,cm,1,251,96472,96763,+,no,1,0.37,4.9,126.4,6.7e-30,!,"Bacillus phage AR9, complete genome.",96472,96763,291,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_031039_I_118733,1790,NC_031039,-,IA2,-,cm,1,251,118733,118400,-,no,1,0.36,6.5,103.5,2.0000000000000002e-23,!,"Bacillus phage AR9, complete genome.",118400,118733,333,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_031039_I_150367,1818,NC_031039,-,IA2,-,cm,1,251,150367,150047,-,no,1,0.37,3.2,102.2,4.3e-23,!,"Bacillus phage AR9, complete genome.",150047,150367,320,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_031039_I_150940,1798,NC_031039,-,IA2,-,cm,1,251,150940,150605,-,no,1,0.4,1.0,102.7,3.2000000000000003e-23,!,"Bacillus phage AR9, complete genome.",150605,150940,335,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
