genome,accession,target_name,query_name,E-value,description_of_target,genome_start,genome_end,strand,intronID,source
EU982300,PF14859.9,Colicin_M,orf35,5.8999999999999986e-158,Colicin M,3577,4434,+,EU982300_II_5809,.tblout
EU982300,PF08388.14,GIIM,orf49,5e-16,"Group II intron, maturase-specific domain",5409,5573,+,EU982300_II_5809,.tblout
EU982300,PF10948.11,DUF2635,orf67,3e-18,Protein of unknown function (DUF2635),6738,7046,+,EU982300_II_5809,.tblout
EU982300,PF04984.17,Phage_sheath_1,orf81,1.7000000000000002e-18,Phage tail sheath protein subtilisin-like domain,6956,8542,+,EU982300_II_5809,.tblout
EU982300,PF10618.12,Tail_tube,orf87,1.3e-30,Phage tail tube protein,8567,8956,+,EU982300_II_5809,.tblout
EU982300,PF00717.26,Peptidase_S24,orf9,1.3999999999999999e-18,Peptidase S24-like,841,1707,+,EU982300_II_5809,.tblout
EU982300,PF10109.12,Phage_TAC_7,orf90,1.8e-19,"Phage tail assembly chaperone proteins, E, or 41 or 14",8908,9249,+,EU982300_II_5809,.tblout
EU982300,PF07699.16,Ephrin_rec_like,orf92,0.0076,Tyrosine-protein kinase ephrin type A/B receptor-like,9307,9435,+,EU982300_II_5809,.tblout
HQ906664,PF04542.17,Sigma70_r2,orf30,2.2e-05,Sigma-70 region 2,18787,19329,+,HQ906664_II_21103,.tblout
HQ906664,PF13479.9,AAA_24,orf36,5.7e-40,AAA domain,19391,20245,+,HQ906664_II_21103,.tblout
HQ906664,PF09791.12,Oxidored-like,orf39,0.0036,"Oxidoreductase-like protein, N-terminal",20781,20939,+,HQ906664_II_21103,.tblout
HQ906664,PF13481.9,AAA_25,orf40,2.3e-19,AAA domain,20212,21078,+,HQ906664_II_21103,.tblout
HQ906664,PF01555.21,N6_N4_Mtase,orf75,1.5e-25,DNA methylase,17815,16469,-,HQ906664_II_21103,.tblout
KY695241,PF09684.13,Tail_P2_I,orf13,0.00027,Phage tail protein (Tail_P2_I),1662,2771,+,KY695241_II_5,.tblout
KY695241,PF16075.8,DUF4815,orf19,0.0095,Domain of unknown function (DUF4815),3478,3585,+,KY695241_II_5,.tblout
KY695241,PF16075.8,DUF4815,orf22,1.1e-52,Domain of unknown function (DUF4815),3589,4146,+,KY695241_II_5,.tblout
KY695241,PF16075.8,DUF4815,orf24,2.1000000000000003e-46,Domain of unknown function (DUF4815),4098,4607,+,KY695241_II_5,.tblout
KY695241,PF16075.8,DUF4815,orf27,4.9e-40,Domain of unknown function (DUF4815),4650,5105,+,KY695241_II_5,.tblout
KY695241,PF04965.17,GPW_gp25,orf3,9.300000000000001e-14,Baseplate wedge protein gp25,308,649,+,KY695241_II_5,.tblout
KY695241,PF07340.14,Herpes_IE1,orf52,0.006999999999999999,Cytomegalovirus IE1 protein,2937,2755,-,KY695241_II_5,.tblout
KY695241,PF15033.9,Kinocilin,orf76,0.0024,Kinocilin protein,885,607,-,KY695241_II_5,.tblout
KY695241,PF04865.17,Baseplate_J,orf9,1.8e-18,Baseplate J-like protein,653,1486,+,KY695241_II_5,.tblout
LC680885,PF14311.9,DUF4379,orf15,2.6e-15,Probable Zinc-ribbon domain,192092,193444,+,LC680885_II_191679,.tblout
LC680885,PF04560.23,RNA_pol_Rpb2_7,orf19,0.0033,"RNA polymerase Rpb2, domain 7",193536,193892,+,LC680885_II_191679,.tblout
LC680885,PF17008.8,DUF5088,orf27,0.0035,Domain of unknown function (DUF5088),195127,195486,+,LC680885_II_191679,.tblout
LC680885,PF00521.23,DNA_topoisoIV,orf4,1.1999999999999998e-56,"DNA gyrase/topoisomerase IV, subunit A",186682,189615,+,LC680885_II_191679,.tblout
LC680885,PF14311.9,DUF4379,orf14,2.6e-15,Probable Zinc-ribbon domain,192092,193444,+,LC680885_II_193449,.tblout
LC680885,PF04560.23,RNA_pol_Rpb2_7,orf18,0.0033,"RNA polymerase Rpb2, domain 7",193536,193892,+,LC680885_II_193449,.tblout
LC680885,PF17008.8,DUF5088,orf26,0.0035,Domain of unknown function (DUF5088),195127,195486,+,LC680885_II_193449,.tblout
LC680885,PF03989.16,DNA_gyraseA_C,orf3,7.5e-27,"DNA gyrase C-terminal domain, beta-propeller",188452,189615,+,LC680885_II_193449,.tblout
LC680885,PF05816.14,TelA,orf36,9.6e-08,Toxic anion resistance protein (TelA),198236,198532,+,LC680885_II_193449,.tblout
MK448228,PF19016.3,DUF5745,orf122,0.0058,Domain of unknown function (DUF5745),2820,2713,-,MK448228_II_2653,.tblout
MK448228,PF00078.30,RVT_1,orf138,2.8000000000000004e-49,Reverse transcriptase (RNA-dependent DNA polymerase),2378,840,-,MK448228_II_2653,.tblout
MK448228,PF11041.11,DUF2612,orf86,7.9e-48,Protein of unknown function (DUF2612),7654,7151,-,MK448228_II_2653,.tblout
MK448731,PF00145.20,DNA_methylase,orf11,9.299999999999999e-88,C-5 cytosine-specific DNA methylase,8856,10175,+,MK448731_II_12382,.tblout
MK448731,PF03819.20,MazG,orf17,0.0017,MazG nucleotide pyrophosphohydrolase domain,10557,11060,+,MK448731_II_12382,.tblout
MK448731,PF09524.13,Phg_2220_C,orf2,3.3999999999999997e-31,Conserved phage C-terminus (Phg_2220_C),7384,8040,+,MK448731_II_12382,.tblout
MK448731,PF07116.14,DUF1372,orf20,1.9e-45,Protein of unknown function (DUF1372),11048,11389,+,MK448731_II_12382,.tblout
MK448731,PF11753.11,DUF3310,orf21,2.4e-22,Protein of unknwon function (DUF3310),11368,11745,+,MK448731_II_12382,.tblout
MK448731,PF00436.28,SSB,orf25,5.4e-34,Single-strand binding protein family,11872,12354,+,MK448731_II_12382,.tblout
MK448731,PF00078.30,RVT_1,orf36,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),12938,14254,+,MK448731_II_12382,.tblout
MK448731,PF07989.14,Cnn_1N,orf39,0.0073,Centrosomin N-terminal motif 1,14348,14647,+,MK448731_II_12382,.tblout
MK448731,PF01381.25,HTH_3,orf41,5.4000000000000004e-12,Helix-turn-helix,14578,14991,+,MK448731_II_12382,.tblout
MK448731,PF05263.14,DUF722,orf43,4.4e-06,Protein of unknown function (DUF722),14937,15452,+,MK448731_II_12382,.tblout
MK448731,PF00589.25,Phage_integrase,orf48,1.7e-22,Phage integrase family,15550,16104,+,MK448731_II_12382,.tblout
MK448731,PF01844.26,HNH,orf52,1.3999999999999999e-14,HNH endonuclease,16663,17040,+,MK448731_II_12382,.tblout
MK448731,PF01695.20,IstB_IS21,orf6,1e-10,IstB-like ATP binding protein,8044,8862,+,MK448731_II_12382,.tblout
MK448731,PF02673.21,BacA,orf74,0.0024,Bacitracin resistance protein BacA,15617,15444,-,MK448731_II_12382,.tblout
MK448731,PF03819.20,MazG,orf10,0.0017,MazG nucleotide pyrophosphohydrolase domain,10557,11060,+,MK448731_II_14296,.tblout
MK448731,PF07116.14,DUF1372,orf13,1.9e-45,Protein of unknown function (DUF1372),11048,11389,+,MK448731_II_14296,.tblout
MK448731,PF11753.11,DUF3310,orf14,2.4e-22,Protein of unknwon function (DUF3310),11368,11745,+,MK448731_II_14296,.tblout
MK448731,PF00436.28,SSB,orf18,5.4e-34,Single-strand binding protein family,11872,12354,+,MK448731_II_14296,.tblout
MK448731,PF00078.30,RVT_1,orf29,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),12938,14254,+,MK448731_II_14296,.tblout
MK448731,PF07989.14,Cnn_1N,orf32,0.0073,Centrosomin N-terminal motif 1,14348,14647,+,MK448731_II_14296,.tblout
MK448731,PF01381.25,HTH_3,orf34,5.4000000000000004e-12,Helix-turn-helix,14578,14991,+,MK448731_II_14296,.tblout
MK448731,PF05263.14,DUF722,orf36,4.4e-06,Protein of unknown function (DUF722),14937,15452,+,MK448731_II_14296,.tblout
MK448731,PF00145.20,DNA_methylase,orf4,3.9000000000000004e-27,C-5 cytosine-specific DNA methylase,9297,10175,+,MK448731_II_14296,.tblout
MK448731,PF00589.25,Phage_integrase,orf41,1.7e-22,Phage integrase family,15550,16104,+,MK448731_II_14296,.tblout
MK448731,PF01844.26,HNH,orf45,1.3999999999999999e-14,HNH endonuclease,16663,17040,+,MK448731_II_14296,.tblout
MK448731,PF20441.1,TerL_nuclease,orf55,4.9000000000000003e-32,"Terminase large subunit, endonuclease domain",17603,19318,+,MK448731_II_14296,.tblout
MK448731,PF02673.21,BacA,orf90,0.0024,Bacitracin resistance protein BacA,15617,15444,-,MK448731_II_14296,.tblout
MK448781,PF09681.13,Phage_rep_org_N,orf14,1.7e-42,N-terminal phage replisome organiser (Phage_rep_org_N),6783,7640,+,MK448781_II_10016,.tblout
MK448781,PF05565.14,Sipho_Gp157,orf24,7e-42,Siphovirus Gp157,8404,8904,+,MK448781_II_10016,.tblout
MK448781,PF04404.15,ERF,orf29,3.2999999999999997e-32,ERF superfamily,8908,9579,+,MK448781_II_10016,.tblout
MK448781,PF00436.28,SSB,orf31,6.799999999999999e-36,Single-strand binding protein family,9572,9988,+,MK448781_II_10016,.tblout
MK448781,PF00078.30,RVT_1,orf42,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),10572,11888,+,MK448781_II_10016,.tblout
MK448781,PF05866.14,RusA,orf48,1e-44,Endodeoxyribonuclease RusA,12195,12683,+,MK448781_II_10016,.tblout
MK448781,PF03374.17,ANT,orf5,1.9e-29,Phage antirepressor protein KilAC domain,5063,5872,+,MK448781_II_10016,.tblout
MK448781,PF19064.3,DUF5760,orf50,0.0051,Family of unknown function (DUF5760),12664,13020,+,MK448781_II_10016,.tblout
MK448781,PF07659.14,DUF1599,orf51,2.3999999999999998e-11,Nucleotide modification associated domain 1,12993,13334,+,MK448781_II_10016,.tblout
MK448781,PF09643.13,YopX,orf54,6.4e-33,YopX protein,13457,13885,+,MK448781_II_10016,.tblout
MK448781,PF07852.14,DUF1642,orf62,1.8000000000000001e-06,Protein of unknown function (DUF1642),14954,15193,+,MK448781_II_10016,.tblout
MK448781,PF05565.14,Sipho_Gp157,orf13,7e-42,Siphovirus Gp157,8404,8904,+,MK448781_II_11930,.tblout
MK448781,PF04404.15,ERF,orf18,3.2999999999999997e-32,ERF superfamily,8908,9579,+,MK448781_II_11930,.tblout
MK448781,PF00436.28,SSB,orf20,6.799999999999999e-36,Single-strand binding protein family,9572,9988,+,MK448781_II_11930,.tblout
MK448781,PF09681.13,Phage_rep_org_N,orf3,1.2e-24,N-terminal phage replisome organiser (Phage_rep_org_N),6933,7640,+,MK448781_II_11930,.tblout
MK448781,PF00078.30,RVT_1,orf31,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),10572,11888,+,MK448781_II_11930,.tblout
MK448781,PF05866.14,RusA,orf37,1e-44,Endodeoxyribonuclease RusA,12195,12683,+,MK448781_II_11930,.tblout
MK448781,PF19064.3,DUF5760,orf39,0.0051,Family of unknown function (DUF5760),12664,13020,+,MK448781_II_11930,.tblout
MK448781,PF07659.14,DUF1599,orf40,2.3999999999999998e-11,Nucleotide modification associated domain 1,12993,13334,+,MK448781_II_11930,.tblout
MK448781,PF09643.13,YopX,orf43,6.4e-33,YopX protein,13457,13885,+,MK448781_II_11930,.tblout
MK448781,PF07852.14,DUF1642,orf52,3.9999999999999997e-32,Protein of unknown function (DUF1642),14954,15487,+,MK448781_II_11930,.tblout
MK448781,PF07374.14,DUF1492,orf60,1.5e-14,Protein of unknown function (DUF1492),16120,16566,+,MK448781_II_11930,.tblout
MK448888,PF09524.13,Phg_2220_C,orf11,1.1000000000000001e-30,Conserved phage C-terminus (Phg_2220_C),6770,7528,+,MK448888_II_10354,.tblout
MK448888,PF12797.10,Fer4_2,orf132,0.0071,4Fe-4S binding domain,8207,8091,-,MK448888_II_10354,.tblout
MK448888,PF01695.20,IstB_IS21,orf14,2.8999999999999997e-11,IstB-like ATP binding protein,7532,8350,+,MK448888_II_10354,.tblout
MK448888,PF03819.20,MazG,orf19,0.0017,MazG nucleotide pyrophosphohydrolase domain,8529,9032,+,MK448888_II_10354,.tblout
MK448888,PF07116.14,DUF1372,orf22,1.9e-45,Protein of unknown function (DUF1372),9020,9361,+,MK448888_II_10354,.tblout
MK448888,PF11753.11,DUF3310,orf23,2.3e-22,Protein of unknwon function (DUF3310),9340,9717,+,MK448888_II_10354,.tblout
MK448888,PF00436.28,SSB,orf27,5.4e-34,Single-strand binding protein family,9844,10326,+,MK448888_II_10354,.tblout
MK448888,PF00078.30,RVT_1,orf38,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),10910,12226,+,MK448888_II_10354,.tblout
MK448888,PF07989.14,Cnn_1N,orf41,0.0073,Centrosomin N-terminal motif 1,12320,12619,+,MK448888_II_10354,.tblout
MK448888,PF01381.25,HTH_3,orf43,5.4000000000000004e-12,Helix-turn-helix,12550,12963,+,MK448888_II_10354,.tblout
MK448888,PF05263.14,DUF722,orf45,4.4e-06,Protein of unknown function (DUF722),12909,13424,+,MK448888_II_10354,.tblout
MK448888,PF03796.18,DnaB_C,orf5,1.0999999999999999e-112,DnaB-like helicase C terminal domain,5357,6199,+,MK448888_II_10354,.tblout
MK448888,PF00589.25,Phage_integrase,orf50,1.7e-22,Phage integrase family,13522,14076,+,MK448888_II_10354,.tblout
MK448888,PF01844.26,HNH,orf54,1.3999999999999999e-14,HNH endonuclease,14635,15012,+,MK448888_II_10354,.tblout
MK448888,PF00046.32,Homeodomain,orf58,0.0093,Homeodomain,15079,15531,+,MK448888_II_10354,.tblout
MK448888,PF02673.21,BacA,orf76,0.0024,Bacitracin resistance protein BacA,13589,13416,-,MK448888_II_10354,.tblout
MK448888,PF03819.20,MazG,orf10,0.0017,MazG nucleotide pyrophosphohydrolase domain,8529,9032,+,MK448888_II_12268,.tblout
MK448888,PF07116.14,DUF1372,orf13,1.9e-45,Protein of unknown function (DUF1372),9020,9361,+,MK448888_II_12268,.tblout
MK448888,PF11753.11,DUF3310,orf14,2.3e-22,Protein of unknwon function (DUF3310),9340,9717,+,MK448888_II_12268,.tblout
MK448888,PF12797.10,Fer4_2,orf145,0.0071,4Fe-4S binding domain,8207,8091,-,MK448888_II_12268,.tblout
MK448888,PF00436.28,SSB,orf18,5.4e-34,Single-strand binding protein family,9844,10326,+,MK448888_II_12268,.tblout
MK448888,PF09524.13,Phg_2220_C,orf2,2.8999999999999995e-30,Conserved phage C-terminus (Phg_2220_C),7271,7528,+,MK448888_II_12268,.tblout
MK448888,PF00078.30,RVT_1,orf29,1.2999999999999998e-43,Reverse transcriptase (RNA-dependent DNA polymerase),10910,12226,+,MK448888_II_12268,.tblout
MK448888,PF07989.14,Cnn_1N,orf32,0.0073,Centrosomin N-terminal motif 1,12320,12619,+,MK448888_II_12268,.tblout
MK448888,PF01381.25,HTH_3,orf34,5.4000000000000004e-12,Helix-turn-helix,12550,12963,+,MK448888_II_12268,.tblout
MK448888,PF05263.14,DUF722,orf36,4.4e-06,Protein of unknown function (DUF722),12909,13424,+,MK448888_II_12268,.tblout
MK448888,PF00589.25,Phage_integrase,orf41,1.7e-22,Phage integrase family,13522,14076,+,MK448888_II_12268,.tblout
MK448888,PF01844.26,HNH,orf45,1.3999999999999999e-14,HNH endonuclease,14635,15012,+,MK448888_II_12268,.tblout
MK448888,PF01695.20,IstB_IS21,orf5,2.8999999999999997e-11,IstB-like ATP binding protein,7532,8350,+,MK448888_II_12268,.tblout
MK448888,PF20441.1,TerL_nuclease,orf55,4.9000000000000003e-32,"Terminase large subunit, endonuclease domain",15575,17290,+,MK448888_II_12268,.tblout
MK448888,PF02673.21,BacA,orf89,0.0024,Bacitracin resistance protein BacA,13589,13416,-,MK448888_II_12268,.tblout
MN091626,PF18075.4,FtsX_ECD,orf10,0.0051,FtsX extracellular domain,48422,50164,+,MN091626_II_50175,.tblout
MN091626,PF04560.23,RNA_pol_Rpb2_7,orf16,0.0033,"RNA polymerase Rpb2, domain 7",50695,51051,+,MN091626_II_50175,.tblout
MN091626,PF17008.8,DUF5088,orf25,0.0013,Domain of unknown function (DUF5088),52286,52645,+,MN091626_II_50175,.tblout
MN091626,PF00521.23,DNA_topoisoIV,orf4,1.1999999999999998e-56,"DNA gyrase/topoisomerase IV, subunit A",45178,48108,+,MN091626_II_50175,.tblout
MN091626,PF04560.23,RNA_pol_Rpb2_7,orf15,0.0033,"RNA polymerase Rpb2, domain 7",50695,51051,+,MN091626_II_50608,.tblout
MN091626,PF17008.8,DUF5088,orf24,0.0013,Domain of unknown function (DUF5088),52286,52645,+,MN091626_II_50608,.tblout
MN091626,PF00521.23,DNA_topoisoIV,orf3,8.5e-57,"DNA gyrase/topoisomerase IV, subunit A",45610,48108,+,MN091626_II_50608,.tblout
MN091626,PF05816.14,TelA,orf33,9.800000000000001e-06,Toxic anion resistance protein (TelA),55421,55690,+,MN091626_II_50608,.tblout
MN091626,PF18075.4,FtsX_ECD,orf9,0.0051,FtsX extracellular domain,48422,50164,+,MN091626_II_50608,.tblout
MN270258,PF00176.26,SNF2-rel_dom,orf13,4.5000000000000004e-14,SNF2-related domain,77818,80523,+,MN270258_II_82815,.tblout
MN270258,PF00078.30,RVT_1,orf23,7.2e-37,Reverse transcriptase (RNA-dependent DNA polymerase),81015,82799,+,MN270258_II_82815,.tblout
MN270258,PF00271.34,Helicase_C,orf30,3e-07,Helicase conserved C-terminal domain,82865,84280,+,MN270258_II_82815,.tblout
MN270258,PF19387.2,DUF5962,orf33,3.7e-42,Family of unknown function (DUF5962),84351,84650,+,MN270258_II_82815,.tblout
MN270258,PF19391.2,DUF5966,orf35,5e-46,Family of unknown function (DUF5966),84649,84954,+,MN270258_II_82815,.tblout
MN270258,PF13155.9,Toprim_2,orf47,8.3e-11,Toprim-like,85722,86804,+,MN270258_II_82815,.tblout
MN270258,PF19390.2,DUF5965,orf49,3.7000000000000006e-46,Family of unknown function (DUF5965),86846,87085,+,MN270258_II_82815,.tblout
MN270258,PF19370.2,DUF5945,orf52,2.2999999999999996e-73,Family of unknown function (DUF5945),87076,87471,+,MN270258_II_82815,.tblout
MN270258,PF18291.4,HU-HIG,orf53,0.0014,"HU domain fused to wHTH, Ig, or Glycine-rich motif",87458,87811,+,MN270258_II_82815,.tblout
MN270259,PF00176.26,SNF2-rel_dom,orf13,4.5000000000000004e-14,SNF2-related domain,77854,80559,+,MN270259_II_82851,.tblout
MN270259,PF00078.30,RVT_1,orf23,7.2e-37,Reverse transcriptase (RNA-dependent DNA polymerase),81051,82835,+,MN270259_II_82851,.tblout
MN270259,PF00271.34,Helicase_C,orf30,3e-07,Helicase conserved C-terminal domain,82901,84316,+,MN270259_II_82851,.tblout
MN270259,PF19387.2,DUF5962,orf33,3.7e-42,Family of unknown function (DUF5962),84387,84686,+,MN270259_II_82851,.tblout
MN270259,PF19391.2,DUF5966,orf35,5e-46,Family of unknown function (DUF5966),84685,84990,+,MN270259_II_82851,.tblout
MN270259,PF13155.9,Toprim_2,orf47,8.3e-11,Toprim-like,85758,86840,+,MN270259_II_82851,.tblout
MN270259,PF19390.2,DUF5965,orf49,3.7000000000000006e-46,Family of unknown function (DUF5965),86882,87121,+,MN270259_II_82851,.tblout
MN270259,PF19370.2,DUF5945,orf52,2.2999999999999996e-73,Family of unknown function (DUF5945),87112,87507,+,MN270259_II_82851,.tblout
MN270259,PF18291.4,HU-HIG,orf53,0.0014,"HU domain fused to wHTH, Ig, or Glycine-rich motif",87494,87847,+,MN270259_II_82851,.tblout
MT835550,PF01292.23,Ni_hydr_CYTB,orf10,4.2e-15,Prokaryotic cytochrome b561,5364,5918,+,MT835550_II_9795,.tblout
MT835550,PF05129.16,Elf1,orf136,0.0037,Transcription elongation factor Elf1 like,11155,11024,-,MT835550_II_9795,.tblout
MT835550,PF09278.14,MerR-DNA-bind,orf181,1.3999999999999998e-20,"MerR, DNA binding",6410,5970,-,MT835550_II_9795,.tblout
MT835550,PF02411.18,MerT,orf19,4.6e-33,MerT mercuric transport protein,6408,6845,+,MT835550_II_9795,.tblout
MT835550,PF02683.18,DsbD,orf2,4.6e-13,Cytochrome C biogenesis protein transmembrane region,4797,5081,+,MT835550_II_9795,.tblout
MT835550,PF00403.29,HMA,orf23,7.7e-15,Heavy-metal-associated domain,6817,7191,+,MT835550_II_9795,.tblout
MT835550,PF07992.17,Pyr_redox_2,orf36,1.0999999999999999e-61,Pyridine nucleotide-disulphide oxidoreductase,7195,8841,+,MT835550_II_9795,.tblout
MT835550,PF02035.18,Coagulin,orf38,0.0011,Coagulin,8860,8988,+,MT835550_II_9795,.tblout
MT835550,PF00078.30,RVT_1,orf60,1e-41,Reverse transcriptase (RNA-dependent DNA polymerase),9921,11600,+,MT835550_II_9795,.tblout
MT835550,PF13115.9,YtkA,orf77,1.3999999999999999e-12,YtkA-like,12475,12927,+,MT835550_II_9795,.tblout
MT835550,PF01292.23,Ni_hydr_CYTB,orf82,5.3e-19,Prokaryotic cytochrome b561,12927,13610,+,MT835550_II_9795,.tblout
MT836027,PF18362.4,THB,orf111,0.0055,Tri-helix bundle domain,11726,11613,-,MT836027_II_7078,.tblout
MT836027,PF12846.10,AAA_10,orf126,2.2e-07,AAA-like domain,12079,9773,-,MT836027_II_7078,.tblout
MT836027,PF00078.30,RVT_1,orf145,1.1e-42,Reverse transcriptase (RNA-dependent DNA polymerase),9043,7157,-,MT836027_II_7078,.tblout
MT836027,PF02954.22,HTH_8,orf149,0.0052,"Bacterial regulatory protein, Fis family",6992,6762,-,MT836027_II_7078,.tblout
MT836027,PF01551.25,Peptidase_M23,orf168,3e-27,Peptidase family M23,6746,4050,-,MT836027_II_7078,.tblout
MT836027,PF14193.9,DUF4315,orf173,3.9e-20,Domain of unknown function (DUF4315),4046,3786,-,MT836027_II_7078,.tblout
MT836027,PF14283.9,DUF4366,orf181,3.3999999999999994e-51,Domain of unknown function (DUF4366),3850,2684,-,MT836027_II_7078,.tblout
MT836027,PF08341.14,TED,orf190,2.7e-09,Thioester domain,2680,1997,-,MT836027_II_7078,.tblout
MT836027,PF05063.17,MT-A70,orf100,3.5e-29,MT-A70,13705,13139,-,MT836027_II_9677,.tblout
MT836027,PF12959.10,DUF3848,orf104,4.5e-07,Protein of unknown function (DUF3848),13175,12396,-,MT836027_II_9677,.tblout
MT836027,PF12666.10,PrgI,orf109,3.1e-28,PrgI family protein,12356,11925,-,MT836027_II_9677,.tblout
MT836027,PF18362.4,THB,orf112,0.0055,Tri-helix bundle domain,11726,11613,-,MT836027_II_9677,.tblout
MT836027,PF12846.10,AAA_10,orf127,2.3e-07,AAA-like domain,12115,9773,-,MT836027_II_9677,.tblout
MT836027,PF00078.30,RVT_1,orf146,1.1e-42,Reverse transcriptase (RNA-dependent DNA polymerase),9043,7157,-,MT836027_II_9677,.tblout
MT836027,PF02954.22,HTH_8,orf150,0.0052,"Bacterial regulatory protein, Fis family",6992,6762,-,MT836027_II_9677,.tblout
MT836027,PF01551.25,Peptidase_M23,orf167,3e-27,Peptidase family M23,6746,4479,-,MT836027_II_9677,.tblout
MT836071,PF14284.9,PcfJ,orf10,1.1999999999999999e-43,PcfJ-like protein,14718,15989,+,MT836071_II_19618,.tblout
MT836071,PF01832.23,Glucosaminidase,orf119,3e-22,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,24619,23096,-,MT836071_II_19618,.tblout
MT836071,PF00436.28,SSB,orf127,3.5e-07,Single-strand binding protein family,22924,22220,-,MT836071_II_19618,.tblout
MT836071,PF08401.14,ArdcN,orf130,2.2999999999999998e-11,N-terminal domain of anti-restriction factor ArdC,22229,21996,-,MT836071_II_19618,.tblout
MT836071,PF00078.30,RVT_1,orf142,2.3999999999999995e-39,Reverse transcriptase (RNA-dependent DNA polymerase),21525,19645,-,MT836071_II_19618,.tblout
MT836071,PF18818.4,MPTase-PolyVal,orf156,7.6e-30,Zincin-like metallopeptidase,19658,18036,-,MT836071_II_19618,.tblout
MT836071,PF12593.11,McyA_C,orf161,0.004,Microcystin synthetase C terminal,17901,17770,-,MT836071_II_19618,.tblout
MT836071,PF14058.9,PcfK,orf2,3.2e-09,PcfK-like protein,14524,14721,+,MT836071_II_19618,.tblout
MT836320,PF00462.27,Glutaredoxin,orf11,0.00011999999999999999,Glutaredoxin,6550,6933,+,MT836320_II_10590,.tblout
MT836320,PF10263.12,SprT-like,orf17,0.0023,SprT-like family,6860,7660,+,MT836320_II_10590,.tblout
MT836320,PF00144.27,Beta-lactamase,orf24,6.7e-25,Beta-lactamase,7727,8602,+,MT836320_II_10590,.tblout
MT836320,PF03960.18,ArsC,orf28,1.2e-13,ArsC family,8760,9167,+,MT836320_II_10590,.tblout
MT836320,PF02133.18,Transp_cyt_pur,orf34,7.5e-17,"Permease for cytosine/purines, uracil, thiamine, allantoin",9241,10443,+,MT836320_II_10590,.tblout
MT836320,PF13817.9,DDE_Tnp_IS66_C,orf45,6.1e-10,IS66 C-terminal element,11107,10844,-,MT836320_II_10590,.tblout
MT836602,PF13595.9,DUF4138,orf11,8.3e-57,Domain of unknown function (DUF4138),403,1275,+,MT836602_II_3247,.tblout
MT836602,PF07603.14,DUF1566,orf20,0.0003,Protein of unknown function (DUF1566),1776,2447,+,MT836602_II_3247,.tblout
