gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
EAUZPXBS_CDS_0021	10385	8895	-	NC_007581	-2971528037211181.0	11092	967.0	0.958	5.504e-321	p31865 VI_05913	11092	817.04126	9.747381126290383e-246	No_custom_HMM	No_custom_HMM	No_custom_HMM	11092	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0022	10510	10382	-	NC_007581	-6.044406821992771	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0023	10750	10601	-	NC_007581	-2.874794048039483	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0024	10778	11032	+	NC_007581	-69.97005705323194	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0025	11296	11207	-	NC_007581	-0.053584355236417	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0026	11544	11266	-	NC_007581	-1.5210647968872102	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0027	11597	12829	+	NC_007581	-78996325314.12349	23878	910.0	1.0	7.287e-303	NC_007581_p15	23878	792.022522	2.349729942042077e-238	No_custom_HMM	No_custom_HMM	No_custom_HMM	23878	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0028	12913	12794	-	NC_007581	-0.9376970410887054	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0029	12981	13748	+	NC_007581	-6505310636.370594	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0030	14080	13952	-	NC_007581	-0.0635790654753783	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0031	14067	14711	+	NC_007581	-32447250.0706246	31879	478.0	1.0	7.842e-157	p398163 VI_06118	31879	419.080048	7.689382080334371e-126	No_custom_HMM	No_custom_HMM	No_custom_HMM	31879	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0032	14690	15445	+	NC_007581	-23622559.704918303	31135	540.0	1.0	1.152e-177	p398162 VI_06118	31135	476.666565	4.229183240734675e-143	No_custom_HMM	No_custom_HMM	No_custom_HMM	31135	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0033	15448	16131	+	NC_007581	-1331247.14761426	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0034	16209	16610	+	NC_007581	-5468.218859476008	2577	189.0	0.705	5.8850000000000004e-58	p20485 VI_01658	2577	181.017303	2.230393474162514e-53	No_custom_HMM	No_custom_HMM	No_custom_HMM	2577	PHANOTATE_1.5.1	CDS	#fea328	transposase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0035	16628	18109	+	NC_007581	-1.0163054904719495e+19	506	464.0	0.505	9.508e-147	NC_007581_p21	506	217.654724	5.8536783067074784e-64	No_custom_HMM	No_custom_HMM	No_custom_HMM	506	PHANOTATE_1.5.1	CDS	#fea328	transposase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0036	18521	18874	+	NC_007581	-158.3691221328301	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0037	18886	19923	+	NC_007581	-35296279106239.6	37240	764.0	1.0	2.78e-253	NC_007581_p23	37240	669.8172	1.6615094922943954e-201	No_custom_HMM	No_custom_HMM	No_custom_HMM	37240	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0038	20445	20281	-	NC_007581	-0.1593344342347768	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0039	20474	21196	+	NC_007581	-175667672.77417997	24129	49.0	0.5	5.437e-11	p268943 VI_05825	2899	43.551319	5.559822800172069e-11	No_custom_HMM	No_custom_HMM	No_custom_HMM	24129	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0040	21218	21310	+	NC_007581	-1.3734752973001074	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0041	21298	21438	+	NC_007581	-12.44407098184414	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0042	21431	21544	+	NC_007581	-1.4736998705233435	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0043	21590	22507	+	NC_007581	-82196553.47501382	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0044	22547	22708	+	NC_007581	-327.91210921758665	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0045	22665	22772	+	NC_007581	-0.205424798494674	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0046	22935	23597	+	NC_007581	-1938335.6070024248	35650	522.0	1.0	7.179e-172	p71927 VI_05747	35650	480.608887	1.1216899185043642e-144	No_custom_HMM	No_custom_HMM	No_custom_HMM	35650	PHANOTATE_1.5.1	CDS	#ff59f5	MazF-like growth inhibitor	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0047	23692	23594	-	NC_007581	-0.0694061179737916	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0048	23808	24464	+	NC_007581	-98156.92009487184	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0049	24630	26030	+	NC_007581	-1.825056165714116e+16	5732	433.0	0.553	2.653e-137	p338371 VI_05037	5732	449.115601	3.215375894854486e-134	No_custom_HMM	No_custom_HMM	No_custom_HMM	5732	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0050	26023	27129	+	NC_007581	-95120332728666.88	5830	339.0	0.523	2.61e-106	NC_023007_p94	5830	341.486694	9.227694615085173e-102	No_custom_HMM	No_custom_HMM	No_custom_HMM	5830	PHANOTATE_1.5.1	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0051	27222	27593	+	NC_007581	-4359.743633024593	30149	283.0	1.0	5.72e-91	p71930 VI_05747	30149	238.799759	2.120268769794195e-71	No_custom_HMM	No_custom_HMM	No_custom_HMM	30149	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0052	27651	29600	+	NC_007581	-8.637937139233683e+22	3869	533.0	0.475	1.175e-167	MF403008_p282	3869	747.693604	2.346689137423435e-224	No_custom_HMM	No_custom_HMM	No_custom_HMM	3869	PHANOTATE_1.5.1	CDS	#ffdf59	NAD-dependent DNA ligase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0053	29732	29914	+	NC_007581	-318.4448263799068	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0054	29918	30100	+	NC_007581	-2793.413411091896	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0055	30186	30323	+	NC_007581	-23.643599762463925	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0056	30444	30346	-	NC_007581	-3.5883363567876083	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0057	30551	30739	+	NC_007581	-1745.8163129230377	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0058	30760	31305	+	NC_007581	-146796.4128399076	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0059	31491	31366	-	NC_007581	-0.0467474887215808	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0060	31483	31878	+	NC_007581	-44112.97880302714	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0061	32003	34300	+	NC_007581	-2.1432141378902145e+21	24700	41.0	1.0	2.035e-06	p29126 VI_08648	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	24700	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0062	34308	34427	+	NC_007581	-8.082829824922175	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0063	34420	34743	+	NC_007581	-1817.94635658178	9084	58.0	0.455	2.818e-12	NC_022090_p105	559	71.268059	1.4635896093112292e-19	No_custom_HMM	No_custom_HMM	No_custom_HMM	9084	PHANOTATE_1.5.1	CDS	#ffdf59	homing endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
