gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
EWAKPAGN_CDS_0011	5448	7316	+	MN270259	-2.169886030269948e+19	4031	946.0	0.75	3.595e-311	p115970 VI_05096	4031	996.861694	7.386036746883376e-300	No_custom_HMM	No_custom_HMM	No_custom_HMM	4031	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0012	7679	7551	-	MN270259	-6.437700213096069	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0013	7719	8324	+	MN270259	-6960745.510418911	2513	45.0	0.206	6.565e-08	p146593 VI_05012	2513	80.888786	2.0221351513063606e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	2513	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0014	10319	8364	-	MN270259	-3798179242086968.0	10285	279.0	0.444	1.382e-85	p32374 VI_00731	17	485.69812	7.884910207651248e-145	No_custom_HMM	No_custom_HMM	No_custom_HMM	10285	PHANOTATE_1.5.1	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0015	10531	10367	-	MN270259	-15.275346803073244	2442	107.0	0.938	1.7090000000000001e-31	p79470 VI_05117	2442	108.341637	2.1045667524055315e-31	No_custom_HMM	No_custom_HMM	No_custom_HMM	2442	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0016	11101	10553	-	MN270259	-624.2311224577223	112	82.0	0.326	1.819e-20	MF768469_p20	112	239.369797	1.0815217962597295e-70	No_custom_HMM	No_custom_HMM	No_custom_HMM	112	PHANOTATE_1.5.1	CDS	#ffdf59	Gp2.5-like ssDNA binding protein and ssDNA annealing protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0017	12227	11106	-	MN270259	-6860101786.589655	69	281.0	0.471	3.3650000000000004e-86	NC_019519_p21	69	496.924835	1.5012845982213592e-148	No_custom_HMM	No_custom_HMM	No_custom_HMM	69	PHANOTATE_1.5.1	CDS	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0018	12543	12220	-	MN270259	-878.6952548933496	408	118.0	0.568	1.5890000000000002e-34	p272680 VI_04059	408	133.017761	1.1020748268727089e-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	408	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0019	12652	12518	-	MN270259	-73.87986626933288	3280	61.0	0.831	1.044e-15	p89952 VI_04942	3280	62.521317	5.823183119876626e-17	No_custom_HMM	No_custom_HMM	No_custom_HMM	3280	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0020	12960	12871	-	MN270259	-1.355201715392046	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0021	12962	15244	+	MN270259	-6.709760353529476e+17	1883	1470.0	0.922	0.0	p89953 VI_04942	1883	1352.327271	0.0	No_custom_HMM	No_custom_HMM	No_custom_HMM	1883	PHANOTATE_1.5.1	CDS	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0022	15340	15441	+	MN270259	-0.2957528839444584	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0023	15591	15872	+	MN270259	-989.3709011564104	93	81.0	0.454	3.795e-21	NC_028826_p5	93	108.970589	5.129605311469775e-31	No_custom_HMM	No_custom_HMM	No_custom_HMM	93	PHANOTATE_1.5.1	CDS	#ffdf59	endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0024	15853	17229	+	MN270259	-25866673536.846146	62	276.0	0.391	3.4449999999999996e-83	NC_028990_p38	62	583.185547	2.631188677525159e-174	No_custom_HMM	No_custom_HMM	No_custom_HMM	62	PHANOTATE_1.5.1	CDS	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0025	17222	17725	+	MN270259	-90451.94742029929	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	36	61.078369	2.2886083759505417e-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	36	PHANOTATE_1.5.1	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0026	17891	18106	+	MN270259	-142.12925190150827	2555	111.0	0.821	1.195e-32	p116029 VI_04972	2555	105.735405	5.454808636230694e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	2555	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0027	18151	19188	+	MN270259	-381200905.3668534	1569	303.0	0.614	1.629e-95	p207769 VI_04062	1569	571.554565	1.4229533453995518e-171	No_custom_HMM	No_custom_HMM	No_custom_HMM	1569	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0028	19190	19555	+	MN270259	-147.8826644562864	2323	104.0	0.644	1.9369999999999998e-29	p305521 VI_07356	144	128.9702	2.9639122758209178e-37	No_custom_HMM	No_custom_HMM	No_custom_HMM	2323	PHANOTATE_1.5.1	CDS	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0029	19680	19582	-	MN270259	-0.0874810907633003	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0030	19835	19942	+	MN270259	-0.057154891814603	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0031	19990	20082	+	MN270259	-1.6601271303322611	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0032	20215	21543	+	MN270259	-476528882970.99536	498	494.0	0.643	1.1869999999999999e-158	p48104 VI_12205	498	678.696289	1.6574371540058499e-203	No_custom_HMM	No_custom_HMM	No_custom_HMM	498	PHANOTATE_1.5.1	CDS	#838383	DNA methyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0033	21540	22799	+	MN270259	-2694324259.4618683	8411	453.0	1.0	9.663e-149	p93356 VI_05123	8411	419.103973	5.948075233096964e-126	No_custom_HMM	No_custom_HMM	No_custom_HMM	8411	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0034	22893	23141	+	MN270259	-292.92461777473807	6231	129.0	0.76	1.693e-38	KX077896_p36	6231	113.141449	9.892028763616913e-33	No_custom_HMM	No_custom_HMM	No_custom_HMM	6231	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0035	23143	23355	+	MN270259	-117.07609818658293	3782	125.0	0.905	1.121e-37	p149270 VI_05209	3782	121.818718	1.2731692409984814e-35	No_custom_HMM	No_custom_HMM	No_custom_HMM	3782	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0036	23357	23587	+	MN270259	-111.7954030031247	4709	110.0	0.722	2.703e-32	p120166 VI_00035	4709	101.542572	3.873378615468307e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	4709	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0037	23674	24111	+	MN270259	-1660.3867184541768	20620	229.0	1.0	2.4499999999999998e-73	p119776 VI_04949	20620	210.555527	5.088288905707186e-63	No_custom_HMM	No_custom_HMM	No_custom_HMM	20620	PHANOTATE_1.5.1	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0038	24108	25700	+	MN270259	-7306165669905.173	2699	321.0	0.479	1.029e-99	p400353 VI_01755	9	642.66803	2.8000823508748374e-192	No_custom_HMM	No_custom_HMM	No_custom_HMM	2699	PHANOTATE_1.5.1	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0039	25771	26028	+	MN270259	-1451.6320812863903	2194	156.0	0.871	5.158e-48	p146946 VI_05019	2194	153.542786	2.779719983554506e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	2194	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0040	26025	26396	+	MN270259	-4896.5203354398645	577	162.0	0.655	3.174e-49	NC_005856_p101	577	158.167603	1.807617359326692e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	577	PHANOTATE_1.5.1	CDS	#ff59f5	Doc-like toxin	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0041	26537	27820	+	MN270259	-602190897929.3035	12	376.0	0.529	1.681e-117	p213127 VI_06558	12	515.724487	5.205708561434353e-154	No_custom_HMM	No_custom_HMM	No_custom_HMM	12	PHANOTATE_1.5.1	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0042	27813	28508	+	MN270259	-2278552.888005177	94	241.0	0.654	8.638e-75	p350580 VI_04431	94	333.004669	1.39218768517054e-98	No_custom_HMM	No_custom_HMM	No_custom_HMM	94	PHANOTATE_1.5.1	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0043	28527	29732	+	MN270259	-2745278942.9053726	10	229.0	0.368	1.027e-67	p205037 VI_04338	10	437.455322	3.054910520366093e-130	No_custom_HMM	No_custom_HMM	No_custom_HMM	10	PHANOTATE_1.5.1	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0044	29735	29992	+	MN270259	-444.7433389489676	40	59.0	0.366	1.273e-13	KY653124_p48	40	83.164131	3.2958280111467105e-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	40	PHANOTATE_1.5.1	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0045	29992	30330	+	MN270259	-81.67046192321985	25	81.0	0.441	2.444e-21	p259995 VI_06031	25	88.072723	2.0081938045451008e-24	No_custom_HMM	No_custom_HMM	No_custom_HMM	25	PHANOTATE_1.5.1	CDS	#35d7ff	head closure Hc1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0046	30323	30691	+	MN270259	-1028.752305781266	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	5	51.960449	1.6984500726245337e-13	No_custom_HMM	No_custom_HMM	No_custom_HMM	5	PHANOTATE_1.5.1	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0047	30698	31024	+	MN270259	-755.6209929466579	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	78	79.733025	4.53823890724324e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	78	PHANOTATE_1.5.1	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0048	31026	31595	+	MN270259	-22031.90422702756	88	110.0	0.334	1.895e-28	p59492 VI_05469	88	203.149017	1.1497403412133268e-59	No_custom_HMM	No_custom_HMM	No_custom_HMM	88	PHANOTATE_1.5.1	CDS	#07e9a2	major tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0049	31607	32026	+	MN270259	-857.0192275582531	709	102.0	0.494	1.851e-28	NC_009552_p14	709	176.93898	4.000637807025381e-52	No_custom_HMM	No_custom_HMM	No_custom_HMM	709	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0050	32095	32190	+	MN270259	-3.1372460473509176	3033	51.0	0.77	2.883e-12	NC_008376_p30	3033	44.806664	2.0691049818011564e-11	No_custom_HMM	No_custom_HMM	No_custom_HMM	3033	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0051	32209	35067	+	MN270259	-2.727475995459058e+16	17020	246.0	0.645	2.211e-76	p388498 VI_05144	58	505.231415	1.3908198219341726e-150	No_custom_HMM	No_custom_HMM	No_custom_HMM	17020	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0052	35064	35786	+	MN270259	-1232.0379947291813	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	33	88.808128	8.636476787411284e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	33	PHANOTATE_1.5.1	CDS	#07e9a2	distal tail protein Dit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0053	35777	40333	+	MN270259	-7.127392373944184e+23	1330	560.0	0.412	7.264e-171	p386330 VI_04802	1330	1010.470276	2.935267389791375e-303	No_custom_HMM	No_custom_HMM	No_custom_HMM	1330	PHANOTATE_1.5.1	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0054	40346	40552	+	MN270259	-88.78714027479094	1137	105.0	0.784	1.178e-30	p214091 VI_04633	1137	95.897408	2.209754055092751e-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	1137	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0055	40558	40926	+	MN270259	-644.7259695804177	1164	224.0	0.976	4.111e-71	KJ417497_p60	1164	183.022736	2.3955807455546708e-54	No_custom_HMM	No_custom_HMM	No_custom_HMM	1164	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0056	40904	41299	+	MN270259	-4526.795925369345	199	118.0	0.516	3.735e-33	p36952 VI_00613	21233	106.107971	1.4764367499873772e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	199	PHANOTATE_1.5.1	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0057	41306	42775	+	MN270259	-83378674801.23445	2742	483.0	0.767	4.596e-157	p57217 VI_05221	2742	484.565643	3.0294982986148764e-145	No_custom_HMM	No_custom_HMM	No_custom_HMM	2742	PHANOTATE_1.5.1	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0058	42792	42926	+	MN270259	-2.2821693991470204	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0059	42999	44240	+	MN270259	-6493728031.161632	95	343.0	0.475	3.584e-106	p77578 VI_00064	95	460.420532	2.13270810702208e-137	No_custom_HMM	No_custom_HMM	No_custom_HMM	95	PHANOTATE_1.5.1	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0060	44107	45495	+	MN270259	-7477904795.386099	95	419.0	0.559	1.479e-132	p77578 VI_00064	95	495.979156	3.6877738942277436e-148	No_custom_HMM	No_custom_HMM	No_custom_HMM	95	PHANOTATE_1.5.1	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0061	45514	45711	+	MN270259	-2.168335186811632	26285	42.0	0.438	3.311e-06	p682 VI_01291	26285	40.099487	4.371947307066558e-10	No_custom_HMM	No_custom_HMM	No_custom_HMM	26285	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0062	45763	46137	+	MN270259	-1873.9905202023915	24764	147.0	0.625	5.953999999999999e-44	p734 VI_01291	24764	140.504684	5.372731982572789e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	24764	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0063	46109	46198	+	MN270259	-0.0830937439305378	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0064	46312	46404	+	MN270259	-0.0647828749544902	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0065	46429	46530	+	MN270259	-0.1400111668636845	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0066	46527	48446	+	MN270259	-3.268994032781076e+17	6880	1150.0	0.867	0.0	KY065497_p30	6880	856.415771	1.8235310209621756e-257	No_custom_HMM	No_custom_HMM	No_custom_HMM	6880	PHANOTATE_1.5.1	CDS	#838383	translation elongation factor	other	None	None	None	None	None	None	None	gb|AAA23033.2|ARO:3000190|tet(O) [Campylobacter jejuni] 	1279.0	0.952	0.0	Campylobacter jejuni	ARO:3000190	tet(O)	AAA23033.2	M18896.2	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	11
